,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1615円,140分,101.5%,8824件
1,600-649,1950円,138分,101.9%,2862件
2,650-699,2503円,136分,102.5%,1506件
3,700-749,2242円,135分,102.2%,1019件
4,750-799,2648円,132分,102.7%,850件
5,800-849,2711円,132分,102.7%,715件
6,850-899,3020円,129分,103.1%,679件
7,900-949,3408円,124分,103.7%,662件
8,950-999,3082円,124分,103.3%,670件
9,1000-1049,3618円,122分,104%,605件
10,1050-1099,3432円,119分,103.8%,600件
11,1100-1149,3943円,119分,104.4%,661件
12,1150-1199,4366円,117分,105%,632件
13,1200-1249,3734円,113分,104.4%,572件
14,1250-1299,4005円,110分,104.9%,677件
15,1300-1349,4055円,107分,105.1%,614件
16,1350-1399,4727円,104分,106%,621件
17,1400-1449,5872円,101分,107.8%,613件
18,1450-1499,5718円,101分,107.6%,584件
19,1500-1549,5593円,100分,107.5%,595件
20,1550-1599,5464円,94分,107.8%,577件
21,1600-1649,5181円,90分,107.7%,494件
22,1650-1699,6192円,89分,109.2%,497件
23,1700-1749,5406円,86分,108.4%,500件
24,1750-1799,6506円,83分,110.5%,488件
25,1800-1849,5984円,81分,109.9%,509件
26,1850-1899,6523円,78分,111.1%,442件
27,1900-1949,7133円,75分,112.7%,426件
28,1950-1999,7249円,73分,113.3%,448件
29,2000-2049,7363円,70分,114%,421件
30,2050-2099,7154円,66分,114.5%,408件
31,2100-2149,8045円,64分,116.8%,440件
32,2150-2199,8088円,61分,117.8%,407件
33,2200-2249,8371円,57分,119.6%,373件
34,2250-2299,8430円,49分,122.8%,367件
35,2300-2349,8401円,43分,125.9%,369件
36,2350-2399,8573円,39分,129.4%,357件
37,2400-2449,9205円,38分,132.2%,327件
38,2450-2499,9078円,37分,132.6%,352件
39,2500-2549,9020円,36分,133%,344件
40,2550-2599,9743円,35分,137.4%,348件
41,2600-2649,10445円,33分,142.5%,306件
42,2650-2699,10539円,32分,143.6%,302件
43,2700-2749,10850円,31分,147.4%,311件
44,2750-2799,11373円,29分,151.7%,285件
45,2800-2849,12426円,26分,163.3%,305件
46,2850-2899,12479円,24分,168.9%,279件
47,2900-2949,12649円,21分,179.1%,227件
