,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,9463円,126分,110%,28件
1,1250-1299,8701円,119分,109.7%,42件
2,1300-1349,8642円,108分,110.6%,38件
3,1350-1399,7903円,114分,109.2%,42件
4,1400-1449,7062円,105分,109%,51件
5,1450-1499,8762円,101分,111.6%,64件
6,1500-1549,9292円,104分,111.9%,43件
7,1550-1599,8528円,102分,111.2%,49件
8,1600-1649,6367円,95分,108.9%,50件
9,1650-1699,7337円,91分,110.7%,52件
10,1700-1749,8472円,90分,112.6%,61件
11,1750-1799,8517円,86分,113.3%,49件
12,1800-1849,6134円,83分,109.9%,58件
13,1850-1899,8083円,80分,113.6%,61件
14,1900-1949,7064円,72分,113.1%,42件
15,1950-1999,8432円,71分,115.8%,62件
16,2000-2049,9324円,71分,117.4%,62件
17,2050-2099,6150円,65分,112.6%,54件
18,2100-2149,8699円,62分,118.7%,67件
19,2150-2199,7653円,63分,116.3%,67件
20,2200-2249,6872円,54分,116.9%,61件
21,2250-2299,8176円,50分,121.6%,57件
22,2300-2349,8309円,50分,122%,58件
23,2350-2399,7350円,47分,121%,58件
24,2400-2449,8961円,43分,127.6%,40件
25,2450-2499,7275円,46分,120.9%,41件
26,2500-2549,7916円,45分,123.6%,47件
27,2550-2599,10533円,39分,136.4%,39件
28,2600-2649,11005円,33分,144.6%,25件
29,2650-2699,11260円,33分,144.9%,30件
30,2700-2749,10477円,35分,139.8%,29件
31,2750-2799,11739円,32分,149.3%,36件
32,2800-2849,12183円,31分,153.2%,35件
33,2850-2899,13878円,26分,172.2%,28件
34,2900-2949,14370円,23分,184.9%,18件
