,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-1770円,152分,98.5%,22428件
1,350-399,-1520円,152分,98.7%,6825件
2,400-449,-1082円,150分,99%,3591件
3,450-499,-980円,148分,99.1%,2463件
4,500-549,-710円,146分,99.4%,2055件
5,550-599,-874円,145分,99.2%,1722件
6,600-649,-777円,143分,99.3%,1659件
7,650-699,-412円,140分,99.6%,1587件
8,700-749,-499円,139分,99.5%,1605件
9,750-799,-73円,135分,99.9%,1489件
10,800-849,-229円,134分,99.8%,1523件
11,850-899,-86円,131分,99.9%,1523件
12,900-949,445円,130分,100.5%,1537件
13,950-999,212円,127分,100.2%,1360件
14,1000-1049,710円,123分,100.8%,1601件
15,1050-1099,1000円,121分,101.1%,1630件
16,1100-1149,1258円,119分,101.4%,1550件
17,1150-1199,1589円,117分,101.8%,1489件
18,1200-1249,1736円,116分,102%,1423件
19,1250-1299,1428円,114分,101.7%,1452件
20,1300-1349,1749円,110分,102.1%,1328件
21,1350-1399,1822円,107分,102.3%,1259件
22,1400-1449,2432円,105分,103.1%,1208件
23,1450-1499,1933円,102分,102.5%,1218件
24,1500-1549,2665円,99分,103.6%,1210件
25,1550-1599,2488円,97分,103.4%,1188件
26,1600-1649,2777円,93分,104%,1108件
27,1650-1699,2928円,91分,104.3%,1054件
28,1700-1749,3554円,89分,105.3%,1097件
29,1750-1799,3699円,85分,105.8%,1046件
30,1800-1849,3740円,83分,106%,1026件
31,1850-1899,4036円,80分,106.7%,1046件
32,1900-1949,4128円,78分,107%,1014件
33,1950-1999,4539円,75分,108.1%,933件
34,2000-2049,4663円,69分,109%,969件
35,2050-2099,4458円,66分,109%,940件
36,2100-2149,4522円,61分,109.9%,870件
37,2150-2199,5354円,59分,112.2%,883件
38,2200-2249,5560円,55分,113.4%,863件
39,2250-2299,5443円,52分,114%,813件
40,2300-2349,5686円,49分,115.5%,825件
41,2350-2399,6361円,45分,118.7%,805件
42,2400-2449,6203円,44分,119%,773件
43,2450-2499,6539円,43分,120.4%,737件
44,2500-2549,7414円,41分,124.1%,702件
45,2550-2599,7621円,39分,125.8%,707件
46,2600-2649,7780円,38分,127%,654件
47,2650-2699,8446円,35分,131.8%,700件
48,2700-2749,9059円,34分,135.7%,634件
49,2750-2799,8859円,34分,134.5%,547件
