,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1150-1199,5964円,119分,106.7%,820件
1,1200-1249,5696円,118分,106.4%,727件
2,1250-1299,6155円,116分,107.1%,654件
3,1300-1349,5776円,113分,106.8%,617件
4,1350-1399,6204円,111分,107.5%,636件
5,1400-1449,5918円,109分,107.2%,560件
6,1450-1499,6428円,105分,108.1%,550件
7,1500-1549,6948円,102分,109.1%,508件
8,1550-1599,6473円,100分,108.6%,521件
9,1600-1649,7029円,97分,109.7%,577件
10,1650-1699,6623円,93分,109.5%,504件
11,1700-1749,6643円,92分,109.6%,519件
12,1750-1799,7510円,87分,111.5%,492件
13,1800-1849,7917円,84分,112.5%,453件
14,1850-1899,7357円,83分,111.8%,417件
15,1900-1949,8117円,79分,113.8%,468件
16,1950-1999,8640円,77分,115%,430件
17,2000-2049,7482円,71分,114%,415件
18,2050-2099,7736円,68分,115.2%,379件
19,2100-2149,7993円,63分,117%,390件
20,2150-2199,8656円,58分,119.8%,405件
21,2200-2249,8663円,56分,120.8%,384件
22,2250-2299,7844円,51分,120.3%,402件
23,2300-2349,7968円,49分,121.5%,352件
24,2350-2399,8305円,48分,123.2%,349件
25,2400-2449,9060円,45分,127.1%,372件
26,2450-2499,8718円,44分,126.7%,314件
27,2500-2549,9284円,42分,129.7%,353件
28,2550-2599,9755円,41分,131.5%,324件
29,2600-2649,10146円,39分,134.5%,303件
30,2650-2699,10663円,38分,137.3%,270件
31,2700-2749,10640円,36分,139.9%,300件
32,2750-2799,11503円,33分,146.8%,250件
33,2800-2849,12730円,30分,156.4%,259件
34,2850-2899,13419円,26分,168.5%,244件
35,2900-2949,14358円,24分,178.6%,206件
