,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,3970円,140分,103.8%,1017件
1,750-799,4464円,138分,104.3%,959件
2,800-849,4636円,133分,104.6%,942件
3,850-899,4303円,133分,104.3%,964件
4,900-949,4703円,130分,104.8%,868件
5,950-999,4362円,129分,104.5%,845件
6,1000-1049,4902円,126分,105.2%,917件
7,1050-1099,5564円,126分,105.9%,903件
8,1100-1149,4982円,122分,105.5%,795件
9,1150-1199,5013円,118分,105.7%,949件
10,1200-1249,5337円,116分,106.1%,919件
11,1250-1299,5520円,114分,106.4%,861件
12,1300-1349,6377円,111分,107.7%,869件
13,1350-1399,6639円,110分,108.1%,826件
14,1400-1449,6052円,107分,107.5%,866件
15,1450-1499,6206円,104分,108%,790件
16,1500-1549,5959円,98分,108.1%,726件
17,1550-1599,6844円,99分,109.2%,706件
18,1600-1649,5886円,95分,108.3%,715件
19,1650-1699,6631円,93分,109.5%,699件
20,1700-1749,6533円,89分,109.8%,712件
21,1750-1799,7004円,86分,110.9%,645件
22,1800-1849,7474円,83分,112%,602件
23,1850-1899,7558円,81分,112.4%,633件
24,1900-1949,7700円,79分,112.9%,594件
25,1950-1999,7476円,75分,113.3%,590件
26,2000-2049,7730円,73分,114.1%,603件
27,2050-2099,8228円,69分,115.8%,605件
28,2100-2149,8522円,65分,117.4%,529件
29,2150-2199,8326円,60分,118.6%,561件
30,2200-2249,7785円,54分,119.2%,523件
31,2250-2299,8240円,49分,122.5%,510件
32,2300-2349,8616円,47分,124.6%,493件
33,2350-2399,8414円,44分,125.2%,477件
34,2400-2449,8491円,42分,126.7%,475件
35,2450-2499,8745円,42分,128%,483件
36,2500-2549,9493円,39分,132.5%,447件
37,2550-2599,9745円,38分,133.9%,447件
38,2600-2649,9853円,38分,134.7%,436件
39,2650-2699,10309円,37分,137.6%,401件
40,2700-2749,11307円,33分,145.1%,418件
41,2750-2799,11507円,31分,148.9%,395件
42,2800-2849,11966円,28分,156.4%,382件
43,2850-2899,12895円,26分,165.3%,357件
44,2900-2949,12799円,27分,163.5%,319件
