,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,-723円,126分,99.2%,21件
1,850-899,-164円,143分,99.8%,37件
2,900-949,2902円,123分,103.1%,30件
3,950-999,-36円,127分,100%,40件
4,1000-1049,1060円,131分,101.1%,35件
5,1050-1099,2431円,126分,102.6%,56件
6,1100-1149,1533円,119分,101.7%,58件
7,1150-1199,1691円,116分,101.9%,69件
8,1200-1249,2471円,117分,102.8%,78件
9,1250-1299,2179円,115分,102.5%,87件
10,1300-1349,1895円,108分,102.3%,74件
11,1350-1399,2773円,108分,103.4%,86件
12,1400-1449,2491円,104分,103.2%,80件
13,1450-1499,2518円,99分,103.4%,89件
14,1500-1549,1645円,100分,102.2%,101件
15,1550-1599,2770円,96分,103.9%,99件
16,1600-1649,3473円,91分,105.1%,126件
17,1650-1699,3577円,90分,105.3%,107件
18,1700-1749,4182円,91分,106.2%,116件
19,1750-1799,4570円,88分,106.9%,103件
20,1800-1849,3896円,82分,106.3%,90件
21,1850-1899,4290円,78分,107.4%,126件
22,1900-1949,3962円,74分,107.1%,115件
23,1950-1999,3432円,74分,106.2%,103件
24,2000-2049,6067円,68分,111.9%,107件
25,2050-2099,3987円,66分,108.1%,75件
26,2100-2149,3848円,64分,108%,87件
27,2150-2199,4692円,63分,110%,68件
28,2200-2249,4851円,58分,111.1%,70件
29,2250-2299,5036円,52分,113%,73件
30,2300-2349,6705円,47分,119%,76件
31,2350-2399,6465円,44分,119.5%,61件
32,2400-2449,5389円,46分,115.7%,63件
33,2450-2499,6773円,43分,120.8%,67件
34,2500-2549,6735円,42分,121.5%,56件
35,2550-2599,7239円,41分,123.5%,68件
36,2600-2649,7217円,42分,123%,62件
37,2650-2699,8386円,36分,130.9%,53件
38,2700-2749,9601円,34分,137.7%,47件
39,2750-2799,9640円,30分,142.2%,44件
40,2800-2849,11224円,27分,155.2%,46件
41,2850-2899,12008円,27分,159.7%,59件
42,2900-2949,12773円,23分,175.3%,52件
