,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-1354円,158分,98.9%,251件
1,300-349,-1558円,156分,98.7%,355件
2,350-399,-1511円,156分,98.7%,415件
3,400-449,-857円,145分,99.2%,531件
4,450-499,-1961円,149分,98.2%,595件
5,500-549,-546円,146分,99.5%,666件
6,550-599,-826円,146分,99.2%,692件
7,600-649,-355円,143分,99.7%,792件
8,650-699,-792円,142分,99.3%,805件
9,700-749,-112円,138分,99.9%,841件
10,750-799,241円,136分,100.2%,950件
11,800-849,-357円,136分,99.6%,949件
12,850-899,-275円,135分,99.7%,1041件
13,900-949,342円,129分,100.4%,1069件
14,950-999,358円,131分,100.4%,1070件
15,1000-1049,455円,126分,100.5%,1050件
16,1050-1099,695円,123分,100.8%,981件
17,1100-1149,1003円,124分,101.1%,946件
18,1150-1199,1004円,118分,101.1%,973件
19,1200-1249,1510円,115分,101.8%,904件
20,1250-1299,1302円,113分,101.5%,864件
21,1300-1349,1218円,112分,101.5%,872件
22,1350-1399,1506円,110分,101.8%,846件
23,1400-1449,2115円,105分,102.7%,798件
24,1450-1499,2188円,103分,102.8%,841件
25,1500-1549,2315円,102分,103%,773件
26,1550-1599,2260円,96分,103.1%,719件
27,1600-1649,2722円,95分,103.8%,658件
28,1650-1699,3119円,92分,104.5%,651件
29,1700-1749,3891円,87分,105.9%,592件
30,1750-1799,3159円,86分,104.9%,549件
31,1800-1849,4114円,83分,106.6%,529件
32,1850-1899,3714円,80分,106.2%,533件
33,1900-1949,3815円,76分,106.7%,532件
34,1950-1999,4048円,72分,107.5%,511件
35,2000-2049,4371円,70分,108.4%,498件
36,2050-2099,4101円,67分,108.2%,468件
37,2100-2149,5146円,63分,110.9%,446件
38,2150-2199,4323円,62分,109.2%,442件
39,2200-2249,5449円,58分,112.6%,399件
40,2250-2299,4452円,55分,110.9%,404件
41,2300-2349,5276円,51分,113.9%,387件
42,2350-2399,5959円,46分,117.3%,395件
43,2400-2449,5807円,46分,116.7%,451件
44,2450-2499,6082円,44分,118.2%,360件
45,2500-2549,7078円,42分,122.6%,333件
46,2550-2599,7395円,41分,123.8%,335件
47,2600-2649,8367円,38分,129.3%,338件
48,2650-2699,8686円,36分,131.9%,309件
49,2700-2749,9426円,33分,137.9%,298件
50,2750-2799,10453円,32分,143.3%,284件
51,2800-2849,11185円,29分,152.2%,290件
52,2850-2899,12371円,25分,164.7%,255件
53,2900-2949,12915円,23分,173.7%,187件
