,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1788円,145分,101.6%,93件
1,600-649,3372円,140分,103.2%,156件
2,650-699,2941円,141分,102.8%,288件
3,700-749,2849円,140分,102.7%,366件
4,750-799,4480円,131分,104.6%,384件
5,800-849,3547円,131分,103.6%,363件
6,850-899,3802円,131分,103.9%,402件
7,900-949,3829円,129分,103.9%,380件
8,950-999,3648円,130分,103.7%,398件
9,1000-1049,4728円,122分,105.2%,414件
10,1050-1099,3991円,123分,104.3%,374件
11,1100-1149,5029円,118分,105.7%,365件
12,1150-1199,4283円,121分,104.7%,444件
13,1200-1249,4659円,113分,105.5%,429件
14,1250-1299,4887円,112分,105.8%,466件
15,1300-1349,5390円,111分,106.5%,363件
16,1350-1399,4679円,105分,105.9%,391件
17,1400-1449,5473円,107分,106.8%,327件
18,1450-1499,5211円,101分,106.8%,329件
19,1500-1549,5393円,101分,107.1%,288件
20,1550-1599,5055円,94分,107.1%,280件
21,1600-1649,6480円,93分,109.3%,285件
22,1650-1699,6039円,90分,108.9%,230件
23,1700-1749,6117円,89分,109.2%,256件
24,1750-1799,7122円,85分,111.2%,278件
25,1800-1849,6315円,82分,110.3%,272件
26,1850-1899,6273円,82分,110.2%,261件
27,1900-1949,6750円,79分,111.4%,199件
28,1950-1999,6748円,73分,112.3%,214件
29,2000-2049,7639円,69分,114.7%,202件
30,2050-2099,8191円,67分,116.3%,207件
31,2100-2149,7106円,64分,114.9%,203件
32,2150-2199,7785円,60分,117.4%,196件
33,2200-2249,7896円,53分,119.8%,191件
34,2250-2299,7884円,49分,121.5%,201件
35,2300-2349,7876円,45分,123.4%,179件
36,2350-2399,8962円,42分,128.6%,176件
37,2400-2449,8886円,41分,128.8%,158件
38,2450-2499,8387円,41分,127.3%,154件
39,2500-2549,9782円,38分,134.7%,142件
40,2550-2599,9696円,39分,133.1%,144件
41,2600-2649,10506円,37分,137.9%,138件
42,2650-2699,10631円,36分,138.9%,136件
43,2700-2749,10782円,33分,143.6%,132件
44,2750-2799,11193円,32分,147.3%,134件
45,2800-2849,12078円,30分,154.5%,112件
46,2850-2899,12886円,26分,166.1%,100件
47,2900-2949,13778円,23分,178.6%,122件
