,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2861円,162分,97.6%,46521件
1,150-199,-2790円,161分,97.7%,13917件
2,200-249,-2388円,160分,98%,7392件
3,250-299,-2173円,156分,98.1%,5074件
4,300-349,-1983円,152分,98.3%,4115件
5,350-399,-1821円,152分,98.4%,3562件
6,400-449,-1486円,152分,98.7%,3473件
7,450-499,-1277円,147分,98.8%,3353件
8,500-549,-1391円,147分,98.7%,3280件
9,550-599,-976円,143分,99.1%,3182件
10,600-649,-995円,142分,99.1%,3171件
11,650-699,-982円,140分,99.1%,3154件
12,700-749,-748円,139分,99.3%,3157件
13,750-799,-391円,136分,99.6%,3006件
14,800-849,-530円,132分,99.5%,3267件
15,850-899,-192円,132分,99.8%,3358件
16,900-949,4円,129分,100%,3220件
17,950-999,392円,126分,100.4%,3133件
18,1000-1049,371円,125分,100.4%,2999件
19,1050-1099,266円,124分,100.3%,2978件
20,1100-1149,612円,119分,100.7%,2780件
21,1150-1199,892円,116分,101%,2722件
22,1200-1249,1011円,116分,101.2%,2612件
23,1250-1299,1337円,113分,101.6%,2542件
24,1300-1349,1399円,110分,101.7%,2508件
25,1350-1399,1182円,108分,101.5%,2507件
26,1400-1449,1808円,103分,102.3%,2425件
27,1450-1499,1793円,103分,102.3%,2301件
28,1500-1549,2136円,100分,102.9%,2342件
29,1550-1599,2301円,97分,103.2%,2209件
30,1600-1649,2453円,94分,103.5%,2222件
31,1650-1699,2563円,92分,103.7%,2219件
32,1700-1749,2699円,89分,104.1%,2115件
33,1750-1799,3003円,86分,104.6%,1986件
34,1800-1849,2874円,83分,104.6%,2068件
35,1850-1899,3248円,79分,105.5%,2019件
36,1900-1949,3006円,76分,105.3%,1810件
37,1950-1999,3853円,72分,107.1%,1886件
38,2000-2049,4062円,70分,107.8%,1791件
39,2050-2099,4035円,66分,108.1%,1776件
40,2100-2149,4124円,64分,108.6%,1744件
41,2150-2199,4370円,61分,109.6%,1721件
42,2200-2249,4635円,57分,110.9%,1634件
43,2250-2299,4902円,54分,112.2%,1564件
44,2300-2349,5498円,49分,114.9%,1568件
45,2350-2399,5333円,48分,114.8%,1524件
46,2400-2449,5856円,45分,117.3%,1490件
47,2450-2499,6273円,43分,119.4%,1488件
48,2500-2549,6607円,42分,120.8%,1410件
49,2550-2599,6618円,42分,121.1%,1177件
