,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,9985円,126分,110.5%,20件
1,1250-1299,8347円,104分,110.7%,28件
2,1300-1349,12528円,110分,115.2%,28件
3,1350-1399,9688円,104分,112.4%,28件
4,1400-1449,8621円,99分,111.6%,23件
5,1450-1499,10581円,96分,114.7%,35件
6,1500-1549,9718円,97分,113.4%,34件
7,1550-1599,11881円,91分,117.5%,39件
8,1600-1649,12005円,94分,117.1%,47件
9,1650-1699,9469円,93分,113.6%,41件
10,1700-1749,10258円,89分,115.4%,50件
11,1750-1799,9705円,88分,114.8%,50件
12,1800-1849,11228円,83分,118%,54件
13,1850-1899,11903円,74分,121.3%,47件
14,1900-1949,9603円,81分,115.7%,46件
15,1950-1999,11323円,72分,120.8%,44件
16,2000-2049,9646円,73分,117.5%,48件
17,2050-2099,10284円,66分,120.6%,44件
18,2100-2149,9490円,64分,119.7%,42件
19,2150-2199,11718円,59分,126.5%,35件
20,2200-2249,12372円,59分,128.1%,50件
21,2250-2299,10107円,50分,126.7%,27件
22,2300-2349,10422円,48分,129%,44件
23,2350-2399,12248円,41分,139.9%,40件
24,2400-2449,13488円,33分,154.8%,36件
25,2450-2499,9307円,42分,129.5%,24件
26,2500-2549,13110円,32分,154.6%,31件
27,2550-2599,12425円,29分,156.3%,24件
28,2600-2649,12594円,33分,150.5%,26件
29,2650-2699,12602円,32分,152%,22件
30,2700-2749,13688円,30分,159.9%,33件
31,2750-2799,14282円,26分,172%,29件
32,2800-2849,14053円,29分,164.5%,24件
33,2850-2899,14715円,24分,180.4%,23件
34,2900-2949,15000円,23分,187.3%,25件
