,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,596円,154分,100.5%,553件
1,350-399,-206円,154分,99.8%,850件
2,400-449,-448円,153分,99.6%,985件
3,450-499,715円,149分,100.6%,1097件
4,500-549,744円,147分,100.7%,1127件
5,550-599,891円,143分,100.8%,1159件
6,600-649,977円,144分,100.9%,1205件
7,650-699,530円,142分,100.5%,1153件
8,700-749,1205円,141分,101.1%,1220件
9,750-799,1082円,137分,101.1%,1175件
10,800-849,2194円,135分,102.2%,1125件
11,850-899,1027円,136分,101%,1331件
12,900-949,1483円,130分,101.5%,1295件
13,950-999,1549円,128分,101.6%,1341件
14,1000-1049,2342円,125分,102.5%,1192件
15,1050-1099,2054円,123分,102.2%,1180件
16,1100-1149,2254円,123分,102.4%,1052件
17,1150-1199,2569円,119分,102.9%,1028件
18,1200-1249,2278円,119分,102.6%,915件
19,1250-1299,2226円,113分,102.6%,861件
20,1300-1349,2835円,112分,103.4%,882件
21,1350-1399,3376円,109分,104.1%,801件
22,1400-1449,2765円,107分,103.4%,754件
23,1450-1499,3026円,105分,103.8%,789件
24,1500-1549,3947円,99分,105.3%,802件
25,1550-1599,3558円,97分,104.9%,748件
26,1600-1649,4301円,96分,106%,629件
27,1650-1699,4142円,93分,106%,630件
28,1700-1749,4379円,90分,106.5%,628件
29,1750-1799,3979円,87分,106.1%,612件
30,1800-1849,4276円,83分,106.8%,615件
31,1850-1899,4703円,79分,107.9%,569件
32,1900-1949,4756円,77分,108.2%,546件
33,1950-1999,4859円,72分,109%,542件
34,2000-2049,4986円,70分,109.5%,511件
35,2050-2099,4840円,66分,109.7%,508件
36,2100-2149,5146円,65分,110.5%,488件
37,2150-2199,5510円,61分,112.1%,476件
38,2200-2249,5889円,56分,113.9%,462件
39,2250-2299,6010円,55分,114.7%,462件
40,2300-2349,6235円,50分,116.6%,422件
41,2350-2399,6209円,49分,116.9%,407件
42,2400-2449,6262円,46分,118%,372件
43,2450-2499,7079円,44分,121.2%,386件
44,2500-2549,7292円,43分,122.7%,371件
45,2550-2599,7934円,41分,125.6%,358件
46,2600-2649,8525円,39分,129.1%,389件
47,2650-2699,9235円,37分,133.6%,350件
48,2700-2749,9705円,34分,138.1%,372件
49,2750-2799,10735円,32分,144.8%,325件
50,2800-2849,11266円,29分,151.6%,307件
51,2850-2899,12308円,26分,163.4%,282件
52,2900-2949,13188円,23分,178%,247件
