,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,-2062円,152分,98.2%,39件
1,600-649,-905円,144分,99.2%,61件
2,650-699,246円,139分,100.2%,81件
3,700-749,-109円,135分,99.9%,116件
4,750-799,494円,135分,100.5%,107件
5,800-849,201円,131分,100.2%,114件
6,850-899,487円,133分,100.5%,136件
7,900-949,-554円,133分,99.4%,161件
8,950-999,-583円,131分,99.4%,142件
9,1000-1049,1153円,124分,101.2%,170件
10,1050-1099,1735円,119分,101.9%,211件
11,1100-1149,1308円,119分,101.5%,190件
12,1150-1199,1207円,120分,101.3%,231件
13,1200-1249,1719円,117分,102%,218件
14,1250-1299,1641円,112分,102%,250件
15,1300-1349,1148円,112分,101.4%,265件
16,1350-1399,1620円,110分,102%,252件
17,1400-1449,2182円,104分,102.8%,211件
18,1450-1499,1552円,108分,101.9%,221件
19,1500-1549,2546円,99分,103.4%,244件
20,1550-1599,1832円,99分,102.5%,239件
21,1600-1649,3136円,92分,104.6%,236件
22,1650-1699,2023円,90分,103%,224件
23,1700-1749,4339円,85分,106.8%,228件
24,1750-1799,4559円,85分,107.1%,236件
25,1800-1849,3805円,80分,106.3%,197件
26,1850-1899,3875円,79分,106.6%,207件
27,1900-1949,4370円,74分,107.9%,186件
28,1950-1999,4374円,71分,108.2%,194件
29,2000-2049,5834円,68分,111.5%,169件
30,2050-2099,5523円,65分,111.4%,163件
31,2100-2149,5155円,59分,111.7%,145件
32,2150-2199,5371円,59分,112.1%,154件
33,2200-2249,5612円,56分,113.5%,150件
34,2250-2299,4799円,54分,111.8%,139件
35,2300-2349,3821円,53分,109.5%,129件
36,2350-2399,6457円,45分,119.1%,134件
37,2400-2449,5950円,45分,117.8%,127件
38,2450-2499,6689円,42分,121.1%,135件
39,2500-2549,7168円,41分,123.1%,128件
40,2550-2599,7440円,40分,124.9%,106件
41,2600-2649,7177円,39分,124.7%,118件
42,2650-2699,7873円,38分,127.6%,102件
43,2700-2749,9189円,33分,136.6%,100件
44,2750-2799,10045円,32分,142.2%,80件
45,2800-2849,11066円,28分,152%,99件
46,2850-2899,11530円,28分,155.7%,92件
47,2900-2949,12553円,23分,173.5%,71件
