,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1350-1399,6960円,111分,108.4%,178件
1,1400-1449,8985円,107分,111.2%,171件
2,1450-1499,9211円,110分,111.2%,174件
3,1500-1549,8906円,101分,111.8%,172件
4,1550-1599,9737円,94分,113.9%,179件
5,1600-1649,9664円,94分,113.7%,157件
6,1650-1699,9653円,96分,113.4%,163件
7,1700-1749,9408円,89分,114.1%,142件
8,1750-1799,8374円,86分,112.9%,146件
9,1800-1849,9056円,87分,113.9%,135件
10,1850-1899,8871円,78分,115.1%,127件
11,1900-1949,8762円,78分,115%,117件
12,1950-1999,9061円,74分,116.2%,129件
13,2000-2049,9627円,71分,118%,120件
14,2050-2099,9822円,67分,119.6%,98件
15,2100-2149,10867円,68分,121.2%,109件
16,2150-2199,9572円,61分,120.9%,95件
17,2200-2249,11381円,54分,127.9%,82件
18,2250-2299,8526円,54分,121.1%,79件
19,2300-2349,9479円,47分,126.8%,71件
20,2350-2399,8535円,45分,125.2%,91件
21,2400-2449,10525円,40分,134.7%,96件
22,2450-2499,10835円,38分,138%,78件
23,2500-2549,10337円,43分,132.3%,66件
24,2550-2599,10902円,41分,135.3%,66件
25,2600-2649,12488円,36分,145.7%,69件
26,2650-2699,11848円,35分,144.9%,70件
27,2700-2749,12663円,35分,148.8%,61件
28,2750-2799,12677円,32分,152.8%,65件
29,2800-2849,13186円,29分,160.1%,56件
30,2850-2899,13048円,26分,167%,52件
31,2900-2949,15529円,25分,184.2%,64件
