,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-32円,154分,100%,1197件
1,400-449,608円,151分,100.5%,1309件
2,450-499,749円,150分,100.7%,1342件
3,500-549,1040円,145分,101%,1402件
4,550-599,1038円,146分,100.9%,1429件
5,600-649,817円,145分,100.8%,1418件
6,650-699,1214円,143分,101.1%,1450件
7,700-749,1350円,139分,101.3%,1456件
8,750-799,2007円,137分,102%,1363件
9,800-849,1222円,138分,101.2%,1633件
10,850-899,1787円,132分,101.8%,1597件
11,900-949,1646円,131分,101.7%,1616件
12,950-999,2291円,129分,102.4%,1472件
13,1000-1049,2323円,125分,102.5%,1455件
14,1050-1099,2391円,125分,102.6%,1274件
15,1100-1149,2433円,122分,102.7%,1241件
16,1150-1199,2511円,122分,102.7%,1110件
17,1200-1249,2368円,116分,102.7%,1065件
18,1250-1299,2947円,115分,103.4%,1073件
19,1300-1349,3147円,112分,103.7%,992件
20,1350-1399,2919円,110分,103.5%,938件
21,1400-1449,3556円,107分,104.5%,990件
22,1450-1499,4105円,102分,105.4%,995件
23,1500-1549,3546円,101分,104.7%,900件
24,1550-1599,4253円,99分,105.7%,760件
25,1600-1649,3958円,96分,105.5%,778件
26,1650-1699,4300円,94分,106.1%,786件
27,1700-1749,3847円,90分,105.7%,739件
28,1750-1799,4364円,87分,106.7%,768件
29,1800-1849,4650円,84分,107.4%,700件
30,1850-1899,5114円,80分,108.5%,680件
31,1900-1949,4837円,75分,108.6%,677件
32,1950-1999,4929円,74分,108.9%,619件
33,2000-2049,5060円,70分,109.7%,634件
34,2050-2099,4884円,69分,109.4%,594件
35,2100-2149,5598円,65分,111.5%,586件
36,2150-2199,6188円,60分,113.7%,573件
37,2200-2249,5926円,59分,113.5%,578件
38,2250-2299,5912円,54分,114.5%,501件
39,2300-2349,6410円,52分,116.6%,514件
40,2350-2399,6072円,49分,116.6%,463件
41,2400-2449,6619円,46分,119.1%,474件
42,2450-2499,7053円,44分,121.2%,460件
43,2500-2549,7460円,43分,123%,437件
44,2550-2599,8115円,41分,126.1%,469件
45,2600-2649,9029円,38分,131.5%,437件
46,2650-2699,9245円,36分,134%,471件
47,2700-2749,10200円,35分,139.3%,400件
48,2750-2799,10669円,32分,143.8%,381件
49,2800-2849,11691円,29分,153.4%,355件
50,2850-2899,12458円,26分,163.6%,327件
51,2900-2949,13604円,23分,178.2%,252件
