,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-1480円,153分,98.7%,22428件
1,350-399,-1232円,153分,98.9%,6825件
2,400-449,-798円,150分,99.3%,3591件
3,450-499,-702円,148分,99.4%,2463件
4,500-549,-433円,146分,99.6%,2055件
5,550-599,-599円,145分,99.4%,1722件
6,600-649,-505円,144分,99.5%,1659件
7,650-699,-143円,140分,99.9%,1587件
8,700-749,-235円,139分,99.8%,1605件
9,750-799,187円,136分,100.2%,1489件
10,800-849,26円,134分,100%,1523件
11,850-899,166円,132分,100.2%,1523件
12,900-949,698円,130分,100.7%,1537件
13,950-999,456円,127分,100.5%,1360件
14,1000-1049,951円,123分,101%,1601件
15,1050-1099,1236円,121分,101.4%,1630件
16,1100-1149,1493円,120分,101.7%,1550件
17,1150-1199,1822円,117分,102.1%,1489件
18,1200-1249,1969円,116分,102.3%,1423件
19,1250-1299,1653円,114分,101.9%,1452件
20,1300-1349,1968円,110分,102.4%,1328件
21,1350-1399,2034円,107分,102.5%,1259件
22,1400-1449,2645円,106分,103.3%,1208件
23,1450-1499,2136円,103分,102.8%,1218件
24,1500-1549,2866円,99分,103.8%,1210件
25,1550-1599,2682円,97分,103.7%,1188件
26,1600-1649,2963円,93分,104.2%,1108件
27,1650-1699,3114円,91分,104.5%,1054件
28,1700-1749,3738円,89分,105.6%,1097件
29,1750-1799,3875円,85分,106.1%,1046件
30,1800-1849,3913円,83分,106.3%,1026件
31,1850-1899,4205円,80分,107%,1046件
32,1900-1949,4292円,78分,107.3%,1014件
33,1950-1999,4698円,75分,108.4%,933件
34,2000-2049,4811円,70分,109.2%,969件
35,2050-2099,4595円,66分,109.3%,940件
36,2100-2149,4651円,61分,110.2%,870件
37,2150-2199,5481円,59分,112.5%,883件
38,2200-2249,5681円,56分,113.6%,863件
39,2250-2299,5558円,52分,114.2%,813件
40,2300-2349,5793円,49分,115.8%,825件
41,2350-2399,6466円,45分,119%,805件
42,2400-2449,6303円,44分,119.3%,773件
43,2450-2499,6640円,43分,120.6%,737件
44,2500-2549,7414円,41分,124.1%,702件
45,2550-2599,7621円,39分,125.8%,707件
46,2600-2649,7780円,38分,127%,654件
47,2650-2699,8446円,35分,131.8%,700件
48,2700-2749,9059円,34分,135.7%,634件
49,2750-2799,8859円,34分,134.5%,547件
