,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,4829円,140分,104.6%,252件
1,750-799,4679円,137分,104.6%,306件
2,800-849,6273円,129分,106.5%,315件
3,850-899,5247円,131分,105.3%,297件
4,900-949,5786円,127分,106.1%,340件
5,950-999,5700円,128分,105.9%,325件
6,1000-1049,5405円,129分,105.6%,331件
7,1050-1099,6417円,119分,107.2%,344件
8,1100-1149,6020円,122分,106.6%,322件
9,1150-1199,6592円,115分,107.6%,293件
10,1200-1249,5925円,119分,106.7%,362件
11,1250-1299,6361円,111分,107.6%,350件
12,1300-1349,6729円,111分,108.1%,394件
13,1350-1399,6886円,109分,108.4%,296件
14,1400-1449,6446円,103分,108.3%,328件
15,1450-1499,7598円,105分,109.6%,262件
16,1500-1549,6898円,100分,109.2%,279件
17,1550-1599,7416円,99分,110%,249件
18,1600-1649,6569円,91分,109.6%,232件
19,1650-1699,8068円,92分,111.8%,238件
20,1700-1749,7858円,89分,111.8%,199件
21,1750-1799,7890円,86分,112.3%,220件
22,1800-1849,9125円,81分,114.9%,234件
23,1850-1899,7755円,80分,113%,231件
24,1900-1949,8221円,79分,113.9%,217件
25,1950-1999,8200円,76分,114.4%,168件
26,2000-2049,8379円,71分,115.8%,182件
27,2050-2099,9387円,67分,118.7%,168件
28,2100-2149,9791円,64分,120.3%,180件
29,2150-2199,8323円,61分,118.3%,167件
30,2200-2249,9441円,56分,122.5%,169件
31,2250-2299,9106円,49分,124.7%,166件
32,2300-2349,8591円,45分,125.4%,164件
33,2350-2399,9695円,41分,131.5%,146件
34,2400-2449,10413円,39分,135.5%,145件
35,2450-2499,10275円,39分,135.1%,129件
36,2500-2549,9580円,40分,132.3%,126件
37,2550-2599,10585円,37分,138.6%,105件
38,2600-2649,11073円,37分,140.3%,120件
39,2650-2699,12174円,35分,146.7%,117件
40,2700-2749,11813円,35分,145.3%,113件
41,2750-2799,12403円,30分,155.2%,113件
42,2800-2849,12655円,30分,157.2%,111件
43,2850-2899,13631円,27分,167.1%,91件
44,2900-2949,14273円,23分,183.2%,74件
