,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,50-99,-2865円,164分,97.7%,56102件
1,100-149,-2763円,163分,97.7%,16851件
2,150-199,-2361円,162分,98.1%,8950件
3,200-249,-2120円,157分,98.2%,6231件
4,250-299,-1937円,152分,98.3%,4993件
5,300-349,-1798円,154分,98.4%,4300件
6,350-399,-1485円,152分,98.7%,4241件
7,400-449,-1355円,149分,98.8%,4097件
8,450-499,-1365円,148分,98.8%,4002件
9,500-549,-938円,145分,99.1%,3908件
10,550-599,-837円,143分,99.2%,3888件
11,600-649,-711円,140分,99.3%,3853件
12,650-699,-640円,140分,99.4%,3800件
13,700-749,-450円,138分,99.6%,3688件
14,750-799,-486円,135分,99.5%,4001件
15,800-849,-45円,133分,100%,4159件
16,850-899,16円,130分,100%,3906件
17,900-949,468円,127分,100.5%,3828件
18,950-999,364円,127分,100.4%,3613件
19,1000-1049,363円,125分,100.4%,3625件
20,1050-1099,727円,121分,100.8%,3418件
21,1100-1149,849円,118分,101%,3323件
22,1150-1199,1073円,117分,101.2%,3214件
23,1200-1249,1271円,115分,101.5%,3091件
24,1250-1299,1339円,111分,101.6%,3074件
25,1300-1349,1311円,110分,101.6%,3039件
26,1350-1399,1745円,106分,102.2%,2937件
27,1400-1449,1814円,105分,102.3%,2891件
28,1450-1499,2121円,102分,102.8%,2848件
29,1500-1549,2178円,99分,102.9%,2757件
30,1550-1599,2296円,97分,103.2%,2703件
31,1600-1649,2591円,94分,103.7%,2702件
32,1650-1699,2649円,91分,103.9%,2601件
33,1700-1749,2945円,89分,104.4%,2467件
34,1750-1799,2742円,86分,104.3%,2518件
35,1800-1849,3238円,82分,105.3%,2481件
36,1850-1899,2903円,79分,104.9%,2235件
37,1900-1949,3728円,75分,106.6%,2334件
38,1950-1999,3978円,73分,107.3%,2223件
39,2000-2049,3872円,70分,107.4%,2159件
40,2050-2099,3969円,67分,107.9%,2119件
41,2100-2149,4155円,64分,108.7%,2076件
42,2150-2199,4300円,60分,109.5%,1990件
43,2200-2249,4605円,57分,110.8%,1918件
44,2250-2299,5308円,53分,113.4%,1923件
45,2300-2349,5139円,51分,113.5%,1866件
46,2350-2399,5510円,47分,115.6%,1784件
47,2400-2449,5885円,45分,117.5%,1814件
48,2450-2499,6342円,44分,119.4%,1732件
49,2500-2549,6163円,43分,118.9%,1450件
