,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,1828円,140分,101.7%,66件
1,800-849,3836円,129分,104%,72件
2,850-899,3580円,120分,104%,88件
3,900-949,1553円,126分,101.6%,123件
4,950-999,2825円,127分,103%,123件
5,1000-1049,2768円,123分,103%,125件
6,1050-1099,2372円,123分,102.6%,149件
7,1100-1149,1649円,124分,101.8%,154件
8,1150-1199,3610円,121分,104%,164件
9,1200-1249,4689円,114分,105.5%,171件
10,1250-1299,2756円,114分,103.2%,176件
11,1300-1349,2526円,111分,103%,223件
12,1350-1399,4416円,106分,105.6%,200件
13,1400-1449,4394円,109分,105.4%,206件
14,1450-1499,4650円,100分,106.2%,197件
15,1500-1549,5293円,94分,107.5%,208件
16,1550-1599,5215円,95分,107.3%,188件
17,1600-1649,5212円,97分,107.2%,190件
18,1650-1699,5106円,90分,107.6%,166件
19,1700-1749,4527円,87分,107%,158件
20,1750-1799,5152円,88分,107.8%,166件
21,1800-1849,5215円,80分,108.7%,152件
22,1850-1899,5589円,79分,109.4%,146件
23,1900-1949,5776円,75分,110.3%,160件
24,1950-1999,5590円,73分,110.2%,144件
25,2000-2049,6587円,68分,112.8%,123件
26,2050-2099,7274円,69分,114.1%,137件
27,2100-2149,6401円,63分,113.6%,119件
28,2150-2199,8373円,56分,119.9%,102件
29,2200-2249,6030円,56分,114.3%,94件
30,2250-2299,6875円,50分,118.4%,80件
31,2300-2349,6133円,46分,117.6%,109件
32,2350-2399,8117円,41分,126.2%,119件
33,2400-2449,8421円,39分,129%,91件
34,2450-2499,8512円,41分,127.5%,85件
35,2500-2549,8331円,42分,126.7%,77件
36,2550-2599,9790円,37分,135.3%,86件
37,2600-2649,9090円,37分,132.9%,80件
38,2650-2699,10062円,35分,137.9%,72件
39,2700-2749,10087円,34分,139.8%,75件
40,2750-2799,10752円,31分,146.6%,71件
41,2800-2849,10813円,28分,151.8%,67件
42,2850-2899,12707円,26分,165.6%,86件
43,2900-2949,13352円,21分,184.7%,63件
