,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,1871円,144分,101.7%,10644件
1,550-599,2204円,143分,102.1%,3412件
2,600-649,2630円,141分,102.5%,1796件
3,650-699,2647円,139分,102.5%,1224件
4,700-749,2654円,136分,102.6%,1020件
5,750-799,2881円,135分,102.8%,858件
6,800-849,3153円,133分,103.2%,810件
7,850-899,3470円,128分,103.6%,796件
8,900-949,3174円,128分,103.3%,803件
9,950-999,3535円,126分,103.7%,731件
10,1000-1049,3472円,123分,103.8%,719件
11,1050-1099,3782円,123分,104.1%,770件
12,1100-1149,4287円,122分,104.7%,743件
13,1150-1199,3721円,117分,104.2%,683件
14,1200-1249,3975円,113分,104.7%,798件
15,1250-1299,4240円,111分,105.1%,742件
16,1300-1349,4715円,109分,105.8%,727件
17,1350-1399,5754円,105分,107.3%,738件
18,1400-1449,5939円,105分,107.6%,709件
19,1450-1499,5173円,104分,106.7%,716件
20,1500-1549,5448円,98分,107.4%,677件
21,1550-1599,4862円,95分,106.8%,596件
22,1600-1649,6103円,94分,108.7%,587件
23,1650-1699,5332円,90分,107.9%,602件
24,1700-1749,5963円,88分,109.1%,576件
25,1750-1799,5879円,85分,109.2%,606件
26,1800-1849,6463円,82分,110.6%,532件
27,1850-1899,7040円,78分,112%,508件
28,1900-1949,7019円,77分,112.2%,536件
29,1950-1999,7227円,74分,113%,509件
30,2000-2049,7061円,70分,113.4%,482件
31,2050-2099,7636円,69分,114.8%,516件
32,2100-2149,7694円,65分,115.9%,506件
33,2150-2199,8072円,61分,117.7%,437件
34,2200-2249,7860円,54分,119.3%,442件
35,2250-2299,7672円,49分,121%,435件
36,2300-2349,8182円,43分,125.2%,428件
37,2350-2399,8609円,42分,127.4%,402件
38,2400-2449,8379円,41分,127.3%,404件
39,2450-2499,8488円,39分,128.7%,406件
40,2500-2549,9064円,38分,132%,419件
41,2550-2599,9640円,36分,135.7%,372件
42,2600-2649,9807円,35分,137.2%,374件
43,2650-2699,10192円,34分,139.7%,366件
44,2700-2749,10517円,33分,142.7%,334件
45,2750-2799,11639円,30分,152%,363件
46,2800-2849,11754円,28分,156.5%,331件
47,2850-2899,12114円,25分,165.2%,307件
48,2900-2949,13057円,22分,177.6%,285件
