,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,237円,147分,100.2%,1357件
1,500-549,-258円,146分,99.8%,1747件
2,550-599,-19円,144分,100%,1594件
3,600-649,476円,140分,100.5%,1434件
4,650-699,742円,138分,100.7%,1276件
5,700-749,476円,139分,100.5%,1121件
6,750-799,391円,137分,100.4%,1073件
7,800-849,1051円,131分,101.1%,1036件
8,850-899,542円,135分,100.5%,926件
9,900-949,1590円,129分,101.6%,880件
10,950-999,1732円,126分,101.8%,791件
11,1000-1049,2111円,124分,102.3%,766件
12,1050-1099,1621円,122分,101.8%,1400件
13,1100-1149,1468円,121分,101.6%,799件
14,1150-1199,2338円,116分,102.7%,820件
15,1200-1249,2141円,115分,102.5%,727件
16,1250-1299,2613円,113分,103.1%,654件
17,1300-1349,2331円,110分,102.8%,617件
18,1350-1399,2806円,108分,103.5%,636件
19,1400-1449,2590円,106分,103.2%,560件
20,1450-1499,3190円,102分,104.2%,550件
21,1500-1549,3761円,99分,105%,508件
22,1550-1599,3375円,97分,104.6%,521件
23,1600-1649,4007円,94分,105.7%,577件
24,1650-1699,3724円,90分,105.5%,504件
25,1700-1749,3783円,89分,105.6%,519件
26,1750-1799,4714円,85分,107.4%,492件
27,1800-1849,5173円,82分,108.4%,453件
28,1850-1899,4702円,81分,107.7%,417件
29,1900-1949,5526円,76分,109.7%,468件
30,1950-1999,6052円,75分,110.8%,430件
31,2000-2049,5177円,69分,110%,415件
32,2050-2099,5517円,66分,111.2%,379件
33,2100-2149,5929円,61分,113%,390件
34,2150-2199,6676円,56分,115.8%,405件
35,2200-2249,6742円,54分,116.7%,384件
36,2250-2299,6119円,50分,116.3%,402件
37,2300-2349,6323円,48分,117.6%,352件
38,2350-2399,6681円,46分,119.3%,349件
39,2400-2449,7477円,43分,123.1%,372件
40,2450-2499,7139円,42分,122.6%,314件
41,2500-2549,7705円,40分,125.5%,353件
42,2550-2599,8177円,40分,127.4%,324件
43,2600-2649,8567円,38分,130.2%,303件
44,2650-2699,9084円,37分,133%,270件
45,2700-2749,9062円,34分,135.4%,300件
46,2750-2799,9924円,31分,142.2%,250件
47,2800-2849,11152円,29分,151.9%,259件
48,2850-2899,11840円,25分,163.8%,244件
49,2900-2949,12779円,23分,174.2%,206件
