,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,2385円,138分,102.3%,781件
1,650-699,1830円,139分,101.8%,1063件
2,700-749,2499円,135分,102.5%,940件
3,750-799,2531円,133分,102.5%,846件
4,800-849,3036円,130分,103.1%,754件
5,850-899,2931円,130分,103%,675件
6,900-949,2507円,129分,102.6%,630件
7,950-999,3238円,124分,103.5%,620件
8,1000-1049,3023円,124分,103.2%,529件
9,1050-1099,3862円,121分,104.3%,501件
10,1100-1149,3786円,119分,104.2%,444件
11,1150-1199,4356円,116分,105%,454件
12,1200-1249,3983円,113分,104.7%,808件
13,1250-1299,4088円,110分,105%,439件
14,1300-1349,4675円,106分,105.9%,473件
15,1350-1399,4957円,105分,106.3%,445件
16,1400-1449,4971円,102分,106.5%,382件
17,1450-1499,4227円,101分,105.6%,376件
18,1500-1549,5178円,97分,107.1%,363件
19,1550-1599,5546円,96分,107.7%,338件
20,1600-1649,5672円,92分,108.3%,289件
21,1650-1699,6292円,89分,109.5%,296件
22,1700-1749,5766円,87分,108.8%,297件
23,1750-1799,6610円,84分,110.5%,335件
24,1800-1849,6510円,79分,111%,306件
25,1850-1899,5932円,80分,109.9%,300件
26,1900-1949,7276円,75分,113%,272件
27,1950-1999,7375円,73分,113.4%,256件
28,2000-2049,6866円,70分,113%,231件
29,2050-2099,8080円,67分,116.1%,264件
30,2100-2149,8397円,64分,117.4%,232件
31,2150-2199,7948円,58分,118.3%,240件
32,2200-2249,8154円,54分,120.2%,215件
33,2250-2299,8387円,49分,122.9%,228件
34,2300-2349,9488円,43分,129.6%,221件
35,2350-2399,9076円,40分,130.1%,203件
36,2400-2449,8916円,39分,130.8%,235件
37,2450-2499,9495円,37分,133.9%,215件
38,2500-2549,9044円,38分,131.5%,198件
39,2550-2599,10306円,34分,139.9%,216件
40,2600-2649,9952円,34分,138.7%,179件
41,2650-2699,10784円,32分,145%,204件
42,2700-2749,10912円,32分,145.9%,175件
43,2750-2799,11199円,30分,150.3%,171件
44,2800-2849,12396円,28分,160%,171件
45,2850-2899,12572円,24分,169.2%,180件
46,2900-2949,12824円,21分,180.9%,133件
