,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,1065円,144分,101%,10644件
1,550-599,1408円,142分,101.3%,3412件
2,600-649,1843円,140分,101.8%,1796件
3,650-699,1870円,139分,101.8%,1224件
4,700-749,1894円,136分,101.9%,1020件
5,750-799,2120円,134分,102.1%,858件
6,800-849,2400円,132分,102.4%,810件
7,850-899,2735円,128分,102.9%,796件
8,900-949,2451円,127分,102.6%,803件
9,950-999,2817円,125分,103%,731件
10,1000-1049,2772円,122分,103%,719件
11,1050-1099,3078円,122分,103.4%,770件
12,1100-1149,3578円,121分,103.9%,743件
13,1150-1199,3052円,116分,103.5%,683件
14,1200-1249,3326円,112分,104%,798件
15,1250-1299,3594円,111分,104.3%,742件
16,1300-1349,4075円,108分,105%,727件
17,1350-1399,5114円,105分,106.5%,738件
18,1400-1449,5297円,104分,106.8%,709件
19,1450-1499,4554円,103分,105.9%,716件
20,1500-1549,4860円,97分,106.7%,677件
21,1550-1599,4303円,94分,106.1%,596件
22,1600-1649,5528円,93分,107.9%,587件
23,1650-1699,4796円,89分,107.2%,602件
24,1700-1749,5428円,87分,108.3%,576件
25,1750-1799,5364円,84分,108.5%,606件
26,1800-1849,5958円,81分,109.8%,532件
27,1850-1899,6537円,78分,111.2%,508件
28,1900-1949,6532円,76分,111.4%,536件
29,1950-1999,6752円,74分,112.2%,509件
30,2000-2049,6611円,70分,112.6%,482件
31,2050-2099,7186円,68分,114%,516件
32,2100-2149,7269円,64分,115.1%,506件
33,2150-2199,7662円,61分,116.9%,437件
34,2200-2249,7495円,54分,118.5%,442件
35,2250-2299,7346円,48分,120.3%,435件
36,2300-2349,7877円,43分,124.4%,428件
37,2350-2399,8317円,42分,126.7%,402件
38,2400-2449,8093円,41分,126.5%,404件
39,2450-2499,8203円,39分,127.9%,406件
40,2500-2549,8779円,38分,131.2%,419件
41,2550-2599,9355円,36分,134.9%,372件
42,2600-2649,9521円,35分,136.4%,374件
43,2650-2699,9907円,34分,138.9%,366件
44,2700-2749,10231円,33分,141.9%,334件
45,2750-2799,11354円,30分,151.1%,363件
46,2800-2849,11468円,27分,155.6%,331件
47,2850-2899,11829円,25分,164.3%,307件
48,2900-2949,12771円,22分,176.8%,285件
