,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,4712円,132分,104.8%,37件
1,950-999,7108円,120分,107.9%,41件
2,1000-1049,6840円,106分,108.6%,49件
3,1050-1099,3983円,117分,104.5%,70件
4,1100-1149,4824円,120分,105.4%,67件
5,1150-1199,5780円,117分,106.6%,75件
6,1200-1249,4649円,112分,105.5%,82件
7,1250-1299,3922円,115分,104.6%,92件
8,1300-1349,6984円,111分,108.4%,86件
9,1350-1399,7246円,105分,109.2%,97件
10,1400-1449,5744円,105分,107.3%,104件
11,1450-1499,4336円,102分,105.7%,125件
12,1500-1549,7164円,99分,109.7%,123件
13,1550-1599,7163円,100分,109.6%,125件
14,1600-1649,7124円,91分,110.4%,132件
15,1650-1699,8351円,83分,113.4%,129件
16,1700-1749,7732円,84分,112.3%,104件
17,1750-1799,8338円,85分,113.1%,107件
18,1800-1849,8391円,79分,114.2%,97件
19,1850-1899,7242円,75分,112.8%,107件
20,1900-1949,7741円,77分,113.4%,92件
21,1950-1999,8124円,68分,115.9%,89件
22,2000-2049,7505円,68分,114.7%,81件
23,2050-2099,7900円,66分,116%,97件
24,2100-2149,8499円,61分,118.5%,85件
25,2150-2199,10521円,57分,124.8%,67件
26,2200-2249,10221円,58分,123.5%,77件
27,2250-2299,9124円,50分,124.2%,62件
28,2300-2349,11608円,44分,135%,55件
29,2350-2399,8595円,44分,126.3%,54件
30,2400-2449,9133円,39分,131.5%,41件
31,2450-2499,8889円,37分,131.8%,64件
32,2500-2549,11172円,31分,147.4%,64件
33,2550-2599,10667円,32分,144.5%,53件
34,2600-2649,11032円,34分,142.8%,52件
35,2650-2699,11188円,34分,143.9%,44件
36,2700-2749,12409円,29分,156.2%,46件
37,2750-2799,11960円,29分,155.6%,47件
38,2800-2849,13485円,28分,164.1%,37件
39,2850-2899,13700円,24分,176%,48件
40,2900-2949,13505円,21分,187.7%,40件
