,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,5793円,136分,105.7%,50件
1,900-949,7384円,128分,107.7%,47件
2,950-999,6646円,114分,107.8%,57件
3,1000-1049,4553円,123分,104.9%,87件
4,1050-1099,5397円,123分,105.9%,79件
5,1100-1149,6754円,120分,107.5%,83件
6,1150-1199,6254円,115分,107.2%,102件
7,1200-1249,4453円,121分,104.9%,103件
8,1250-1299,7244円,116分,108.3%,111件
9,1300-1349,8322円,110分,110.1%,125件
10,1350-1399,6475円,109分,107.9%,124件
11,1400-1449,4976円,106分,106.3%,150件
12,1450-1499,7619円,102分,110%,139件
13,1500-1549,7573円,105分,109.6%,151件
14,1550-1599,7574円,95分,110.6%,149件
15,1600-1649,8691円,89分,113%,155件
16,1650-1699,8163円,90分,112.1%,128件
17,1700-1749,8413円,90分,112.4%,131件
18,1750-1799,8690円,83分,113.9%,118件
19,1800-1849,7510円,82分,112.3%,126件
20,1850-1899,7997円,83分,112.9%,107件
21,1900-1949,7841円,72分,114.5%,105件
22,1950-1999,8298円,73分,115.1%,99件
23,2000-2049,8145円,70分,115.5%,111件
24,2050-2099,8638円,66分,117.6%,95件
25,2100-2149,10427円,60分,123.1%,79件
26,2150-2199,10389円,63分,122.1%,92件
27,2200-2249,9167円,56分,121.7%,76件
28,2250-2299,11451円,49分,131%,63件
29,2300-2349,8305円,49分,122.6%,62件
30,2350-2399,8273円,44分,125.3%,53件
31,2400-2449,8266円,41分,126.8%,73件
32,2450-2499,10868円,35分,141.9%,74件
33,2500-2549,10658円,35分,140.9%,67件
34,2550-2599,10391円,39分,135.8%,58件
35,2600-2649,10507円,38分,136.8%,50件
36,2650-2699,12214円,33分,148.8%,55件
37,2700-2749,11558円,32分,148.1%,56件
38,2750-2799,13051円,30分,157.1%,47件
39,2800-2849,12846円,28分,161.4%,57件
40,2850-2899,13246円,25分,171.8%,49件
41,2900-2949,13122円,23分,177.4%,36件
