,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,1432円,146分,101.3%,3332件
1,650-699,1461円,143分,101.4%,6169件
2,700-749,1417円,143分,101.3%,3485件
3,750-799,1408円,140分,101.3%,3527件
4,800-849,1838円,137分,101.8%,2996件
5,850-899,2061円,134分,102.1%,2731件
6,900-949,1879円,132分,101.9%,2661件
7,950-999,1709円,131分,101.7%,2508件
8,1000-1049,2081円,126分,102.2%,2456件
9,1050-1099,2361円,124分,102.5%,2499件
10,1100-1149,3158円,123分,103.4%,2339件
11,1150-1199,2628円,121分,102.9%,2370件
12,1200-1249,3109円,117分,103.6%,2319件
13,1250-1299,2847円,115分,103.3%,2234件
14,1300-1349,2937円,113分,103.5%,2274件
15,1350-1399,3572円,109分,104.4%,2128件
16,1400-1449,3725円,108分,104.6%,2150件
17,1450-1499,3642円,105分,104.6%,1995件
18,1500-1549,3995円,100分,105.3%,2020件
19,1550-1599,4363円,99分,105.8%,1925件
20,1600-1649,3833円,96分,105.3%,1894件
21,1650-1699,4345円,93分,106.2%,1804件
22,1700-1749,4478円,90分,106.6%,1804件
23,1750-1799,4078円,87分,106.3%,1732件
24,1800-1849,4321円,83分,106.9%,1697件
25,1850-1899,4663円,80分,107.8%,1721件
26,1900-1949,5024円,78分,108.6%,1624件
27,1950-1999,4711円,75分,108.4%,1619件
28,2000-2049,5342円,72分,109.9%,1587件
29,2050-2099,5316円,69分,110.2%,1463件
30,2100-2149,5174円,65分,110.5%,1448件
31,2150-2199,5891円,63分,112.5%,1441件
32,2200-2249,5826円,58分,113.3%,1422件
33,2250-2299,5884円,55分,114.2%,1324件
34,2300-2349,6080円,52分,115.7%,1348件
35,2350-2399,6514円,49分,117.9%,1247件
36,2400-2449,6952円,46分,120%,1269件
37,2450-2499,7251円,45分,121.4%,1190件
38,2500-2549,7954円,43分,124.5%,1088件
39,2550-2599,8309円,41分,127.1%,880件
40,2600-2649,8723円,40分,129.4%,781件
41,2650-2699,9270円,37分,133.2%,584件
42,2700-2749,10332円,35分,139.2%,481件
43,2750-2799,10861円,32分,145.1%,379件
44,2800-2849,12090円,30分,154.4%,333件
45,2850-2899,12599円,27分,161.9%,258件
46,2900-2949,13548円,24分,175.3%,177件
