,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-3066円,161分,97.5%,11522件
1,150-199,-2510円,155分,97.8%,8081件
2,200-249,-2432円,151分,97.8%,6472件
3,250-299,-2227円,152分,98%,5603件
4,300-349,-2137円,151分,98.1%,5503件
5,350-399,-1947円,148分,98.2%,5292件
6,400-449,-1960円,147分,98.2%,5209件
7,450-499,-1537円,143分,98.6%,5105件
8,500-549,-1423円,142分,98.7%,5014件
9,550-599,-1221円,140分,98.8%,5000件
10,600-649,-1094円,139分,98.9%,4883件
11,650-699,-931円,138分,99.1%,4739件
12,700-749,-1050円,135分,99%,5136件
13,750-799,-494円,132分,99.5%,5425件
14,800-849,-473円,130分,99.5%,5057件
15,850-899,-91円,127分,99.9%,5010件
16,900-949,-56円,126分,99.9%,4745件
17,950-999,-112円,124分,99.9%,4653件
18,1000-1049,190円,121分,100.2%,4441件
19,1050-1099,482円,118分,100.5%,4329件
20,1100-1149,598円,117分,100.7%,4157件
21,1150-1199,990円,114分,101.2%,4100件
22,1200-1249,909円,111分,101.1%,4064件
23,1250-1299,902円,110分,101.1%,3954件
24,1300-1349,1217円,106分,101.5%,3805件
25,1350-1399,1456円,105分,101.9%,3801件
26,1400-1449,1850円,103分,102.4%,3716件
27,1450-1499,1910円,99分,102.6%,3647件
28,1500-1549,2105円,98分,102.9%,3522件
29,1550-1599,2244円,95分,103.2%,3467件
30,1600-1649,2309円,92分,103.4%,3373件
31,1650-1699,2539円,90分,103.8%,3216件
32,1700-1749,2423円,87分,103.7%,3276件
33,1750-1799,2949円,83分,104.7%,3225件
34,1800-1849,2809円,80分,104.7%,2984件
35,1850-1899,3533円,77分,106.1%,3048件
36,1900-1949,3656円,74分,106.6%,2970件
37,1950-1999,3555円,72分,106.6%,2867件
38,2000-2049,3717円,69分,107.2%,2784件
39,2050-2099,3960円,66分,108%,2706件
40,2100-2149,4110円,63分,108.7%,2647件
41,2150-2199,4610円,59分,110.4%,2543件
42,2200-2249,4960円,56分,111.9%,2522件
43,2250-2299,4939円,53分,112.4%,2456件
44,2300-2349,5358円,50分,114.4%,2365件
45,2350-2399,5578円,47分,115.9%,2424件
46,2400-2449,5927円,45分,117.7%,2266件
47,2450-2499,5948円,44分,118.2%,1926件
