,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-3160円,162分,97.4%,46521件
1,150-199,-3084円,161分,97.4%,13917件
2,200-249,-2682円,160分,97.8%,7392件
3,250-299,-2459円,155分,97.9%,5074件
4,300-349,-2262円,152分,98%,4115件
5,350-399,-2103円,152分,98.2%,3562件
6,400-449,-1768円,151分,98.4%,3473件
7,450-499,-1550円,147分,98.6%,3353件
8,500-549,-1664円,147分,98.5%,3280件
9,550-599,-1242円,142分,98.8%,3182件
10,600-649,-1259円,141分,98.8%,3171件
11,650-699,-1243円,139分,98.8%,3154件
12,700-749,-1008円,139分,99%,3157件
13,750-799,-647円,136分,99.4%,3006件
14,800-849,-779円,132分,99.2%,3267件
15,850-899,-441円,131分,99.6%,3358件
16,900-949,-240円,128分,99.8%,3220件
17,950-999,152円,126分,100.2%,3133件
18,1000-1049,132円,125分,100.1%,2999件
19,1050-1099,31円,123分,100%,2978件
20,1100-1149,384円,119分,100.4%,2780件
21,1150-1199,669円,116分,100.8%,2722件
22,1200-1249,788円,115分,100.9%,2612件
23,1250-1299,1117円,113分,101.3%,2542件
24,1300-1349,1186円,109分,101.4%,2508件
25,1350-1399,975円,108分,101.2%,2507件
26,1400-1449,1606円,103分,102.1%,2425件
27,1450-1499,1592円,103分,102.1%,2301件
28,1500-1549,1939円,100分,102.6%,2342件
29,1550-1599,2111円,96分,102.9%,2209件
30,1600-1649,2266円,94分,103.2%,2222件
31,1650-1699,2381円,92分,103.5%,2219件
32,1700-1749,2523円,89分,103.8%,2115件
33,1750-1799,2832円,86分,104.4%,1986件
34,1800-1849,2710円,83分,104.4%,2068件
35,1850-1899,3089円,79分,105.2%,2019件
36,1900-1949,2857円,75分,105.1%,1810件
37,1950-1999,3706円,72分,106.8%,1886件
38,2000-2049,3920円,69分,107.5%,1791件
39,2050-2099,3899円,66分,107.8%,1776件
40,2100-2149,3994円,63分,108.4%,1744件
41,2150-2199,4245円,61分,109.4%,1721件
42,2200-2249,4516円,57分,110.6%,1634件
43,2250-2299,4789円,54分,111.9%,1564件
44,2300-2349,5391円,49分,114.6%,1568件
45,2350-2399,5229円,48分,114.6%,1524件
46,2400-2449,5755円,45分,117.1%,1490件
47,2450-2499,6172円,43分,119.1%,1488件
48,2500-2549,6582円,42分,120.8%,1410件
49,2550-2599,6593円,42分,121.1%,1177件
