,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,2668円,140分,102.5%,42件
1,750-799,4396円,138分,104.2%,56件
2,800-849,3533円,131分,103.6%,82件
3,850-899,4850円,135分,104.8%,75件
4,900-949,3393円,128分,103.5%,83件
5,950-999,4154円,135分,104.1%,91件
6,1000-1049,3200円,128分,103.3%,111件
7,1050-1099,3598円,125分,103.8%,99件
8,1100-1149,4489円,121分,104.9%,119件
9,1150-1199,5263円,116分,106.1%,145件
10,1200-1249,4032円,119分,104.5%,128件
11,1250-1299,4985円,118分,105.6%,160件
12,1300-1349,4882円,116分,105.6%,148件
13,1350-1399,4767円,108分,105.9%,163件
14,1400-1449,4208円,110分,105.1%,193件
15,1450-1499,5065円,106分,106.4%,180件
16,1500-1549,5284円,102分,106.9%,150件
17,1550-1599,4679円,104分,106%,158件
18,1600-1649,5480円,96分,107.6%,157件
19,1650-1699,5404円,95分,107.6%,178件
20,1700-1749,7026円,88分,110.7%,181件
21,1750-1799,4267円,89分,106.4%,156件
22,1800-1849,7603円,82分,112.4%,164件
23,1850-1899,7004円,80分,111.6%,156件
24,1900-1949,6184円,77分,110.7%,131件
25,1950-1999,5909円,74分,110.7%,137件
26,2000-2049,6566円,68分,113%,127件
27,2050-2099,7482円,65分,115.4%,139件
28,2100-2149,7340円,63分,115.5%,102件
29,2150-2199,8300円,59分,118.7%,112件
30,2200-2249,7229円,53分,118.3%,94件
31,2250-2299,7846円,53分,119.8%,100件
32,2300-2349,6820円,49分,118.7%,96件
33,2350-2399,7577円,46分,122%,104件
34,2400-2449,6504円,49分,117.6%,94件
35,2450-2499,8481円,42分,126.7%,87件
36,2500-2549,8542円,42分,127.1%,92件
37,2550-2599,8647円,41分,128.3%,90件
38,2600-2649,8773円,40分,129.3%,85件
39,2650-2699,9974円,35分,138.3%,69件
40,2700-2749,9859円,34分,138.4%,86件
41,2750-2799,10981円,33分,144.2%,75件
42,2800-2849,12239円,29分,157.1%,71件
43,2850-2899,12771円,26分,165.5%,52件
44,2900-2949,14244円,23分,181.3%,63件
