,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,46円,144分,100%,93件
1,600-649,1642円,139分,101.6%,156件
2,650-699,1214円,140分,101.2%,288件
3,700-749,1144円,138分,101.1%,366件
4,750-799,2826円,130分,102.9%,384件
5,800-849,1932円,129分,102%,363件
6,850-899,2169円,130分,102.2%,402件
7,900-949,2230円,128分,102.3%,380件
8,950-999,2035円,129分,102.1%,398件
9,1000-1049,3189円,120分,103.5%,414件
10,1050-1099,2452円,122分,102.7%,374件
11,1100-1149,3526円,117分,104%,365件
12,1150-1199,2763円,119分,103.1%,444件
13,1200-1249,3224円,112分,103.8%,429件
14,1250-1299,3456円,111分,104.2%,466件
15,1300-1349,3954円,110分,104.8%,363件
16,1350-1399,3353円,104分,104.3%,391件
17,1400-1449,4085円,106分,105.1%,327件
18,1450-1499,3907円,100分,105.2%,329件
19,1500-1549,4094円,100分,105.5%,288件
20,1550-1599,3861円,93分,105.5%,280件
21,1600-1649,5235円,92分,107.6%,285件
22,1650-1699,4853円,89分,107.2%,230件
23,1700-1749,4945円,88分,107.5%,256件
24,1750-1799,5963円,84分,109.5%,278件
25,1800-1849,5230円,81分,108.6%,272件
26,1850-1899,5192円,81分,108.6%,261件
27,1900-1949,5688円,78分,109.8%,199件
28,1950-1999,5757円,72分,110.6%,214件
29,2000-2049,6655円,68分,113%,202件
30,2050-2099,7216円,66分,114.5%,207件
31,2100-2149,6233円,63分,113.2%,203件
32,2150-2199,6945円,59分,115.7%,196件
33,2200-2249,7129円,52分,118.2%,191件
34,2250-2299,7179円,48分,119.8%,201件
35,2300-2349,7225円,44分,121.7%,179件
36,2350-2399,8326円,41分,126.9%,176件
37,2400-2449,8257円,41分,127.1%,158件
38,2450-2499,7758円,40分,125.6%,154件
39,2500-2549,9153円,37分,133%,142件
40,2550-2599,9067円,39分,131.4%,144件
41,2600-2649,9877円,36分,136.2%,138件
42,2650-2699,10002円,36分,137.1%,136件
43,2700-2749,10153円,32分,141.7%,132件
44,2750-2799,10564円,31分,145.5%,134件
45,2800-2849,11449円,29分,152.6%,112件
46,2850-2899,12257円,25分,164.2%,100件
47,2900-2949,13149円,23分,176.9%,122件
