,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,1237円,140分,101.2%,256件
1,550-599,261円,145分,100.2%,410件
2,600-649,10円,143分,100%,491件
3,650-699,1366円,135分,101.3%,535件
4,700-749,509円,136分,100.5%,520件
5,750-799,513円,133分,100.5%,542件
6,800-849,1171円,132分,101.2%,550件
7,850-899,768円,133分,100.8%,570件
8,900-949,1507円,128分,101.6%,565件
9,950-999,1304円,127分,101.4%,548件
10,1000-1049,2386円,122分,102.6%,525件
11,1050-1099,1281円,125分,101.4%,640件
12,1100-1149,1785円,118分,102%,617件
13,1150-1199,1888円,117分,102.1%,666件
14,1200-1249,2717円,115分,103.1%,554件
15,1250-1299,2341円,110分,102.8%,571件
16,1300-1349,2649円,111分,103.2%,508件
17,1350-1399,2670円,108分,103.3%,487件
18,1400-1449,2934円,107分,103.7%,413件
19,1450-1499,2749円,101分,103.6%,400件
20,1500-1549,3449円,99分,104.6%,416件
21,1550-1599,3680円,97分,105.1%,346件
22,1600-1649,3502円,95分,104.9%,366件
23,1650-1699,4044円,91分,105.9%,393件
24,1700-1749,4292円,86分,106.6%,373件
25,1750-1799,4341円,86分,106.7%,374件
26,1800-1849,4660円,82分,107.6%,286件
27,1850-1899,4831円,79分,108.1%,307件
28,1900-1949,5319円,76分,109.4%,292件
29,1950-1999,5813円,72分,110.7%,302件
30,2000-2049,4905円,69分,109.5%,292件
31,2050-2099,5749円,66分,111.6%,267件
32,2100-2149,5744円,62分,112.4%,273件
33,2150-2199,5867円,57分,113.8%,273件
34,2200-2249,5878円,54分,114.5%,246件
35,2250-2299,6568円,49分,118%,243件
36,2300-2349,6771円,49分,118.6%,235件
37,2350-2399,6353円,45分,118.7%,220件
38,2400-2449,7307円,42分,123.2%,204件
39,2450-2499,7375円,43分,122.9%,208件
40,2500-2549,8000円,42分,125.4%,195件
41,2550-2599,8307円,40分,127.4%,188件
42,2600-2649,8381円,38分,129.4%,192件
43,2650-2699,9032円,36分,133%,192件
44,2700-2749,9574円,34分,138.1%,176件
45,2750-2799,10377円,31分,144.2%,154件
46,2800-2849,11064円,29分,151.5%,187件
47,2850-2899,11997円,26分,162.5%,162件
48,2900-2949,12749円,21分,179.4%,156件
