,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,3502円,139分,103.4%,520件
1,750-799,3443円,136分,103.4%,542件
2,800-849,4123円,135分,104.1%,550件
3,850-899,3711円,136分,103.6%,570件
4,900-949,4378円,130分,104.5%,565件
5,950-999,4148円,130分,104.3%,548件
6,1000-1049,5177円,125分,105.5%,525件
7,1050-1099,4087円,128分,104.3%,640件
8,1100-1149,4437円,120分,104.9%,617件
9,1150-1199,4535円,120分,105.1%,666件
10,1200-1249,5377円,118分,106.1%,554件
11,1250-1299,4839円,112分,105.7%,571件
12,1300-1349,5209円,114分,106.1%,508件
13,1350-1399,5135円,110分,106.2%,487件
14,1400-1449,5393円,109分,106.6%,413件
15,1450-1499,5043円,103分,106.5%,400件
16,1500-1549,5756円,101分,107.6%,416件
17,1550-1599,5924円,99分,108%,346件
18,1600-1649,5710円,97分,107.9%,366件
19,1650-1699,6208円,93分,108.9%,393件
20,1700-1749,6338円,88分,109.6%,373件
21,1750-1799,6386円,88分,109.7%,374件
22,1800-1849,6642円,84分,110.5%,286件
23,1850-1899,6745円,81分,111.1%,307件
24,1900-1949,7203円,78分,112.4%,292件
25,1950-1999,7627円,74分,113.8%,302件
26,2000-2049,6555円,71分,112.4%,292件
27,2050-2099,7379円,68分,114.6%,267件
28,2100-2149,7279円,63分,115.4%,273件
29,2150-2199,7273円,58分,116.7%,273件
30,2200-2249,7217円,55分,117.4%,246件
31,2250-2299,7797円,50分,120.9%,243件
32,2300-2349,8021円,50分,121.5%,235件
33,2350-2399,7518円,46分,121.7%,220件
34,2400-2449,8446円,43分,126.2%,204件
35,2450-2499,8514円,44分,125.8%,208件
36,2500-2549,9114円,43分,128.3%,195件
37,2550-2599,9421円,41分,130.3%,188件
38,2600-2649,9495円,39分,132.4%,192件
39,2650-2699,10146円,37分,136.1%,192件
40,2700-2749,10688円,35分,141.3%,176件
41,2750-2799,11491円,32分,147.4%,154件
42,2800-2849,12178円,30分,154.8%,187件
43,2850-2899,13110円,27分,165.8%,162件
44,2900-2949,13863円,22分,182.5%,156件
