,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1050-1099,5132円,123分,105.6%,1355件
1,1100-1149,5221円,121分,105.8%,1351件
2,1150-1199,5483円,120分,106.1%,1294件
3,1200-1249,6045円,118分,106.8%,1247件
4,1250-1299,6367円,117分,107.3%,1223件
5,1300-1349,5699円,114分,106.7%,1209件
6,1350-1399,5754円,110分,107%,1112件
7,1400-1449,5912円,107分,107.4%,1061件
8,1450-1499,6354円,105分,108.1%,998件
9,1500-1549,5691円,102分,107.4%,1018件
10,1550-1599,6437円,100分,108.6%,1023件
11,1600-1649,6161円,97分,108.5%,1003件
12,1650-1699,6452円,93分,109.3%,943件
13,1700-1749,6552円,91分,109.6%,864件
14,1750-1799,6842円,89分,110.2%,913件
15,1800-1849,7140円,85分,111.2%,863件
16,1850-1899,6811円,82分,111.1%,847件
17,1900-1949,7320円,80分,112.3%,867件
18,1950-1999,7277円,77分,112.6%,846件
19,2000-2049,7836円,73分,114.3%,772件
20,2050-2099,7665円,68分,115%,802件
21,2100-2149,7324円,64分,115.3%,787件
22,2150-2199,7197円,58分,116.4%,723件
23,2200-2249,7808円,56分,118.7%,719件
24,2250-2299,7877円,53分,120%,712件
25,2300-2349,7684円,49分,120.9%,678件
26,2350-2399,7801円,47分,122.2%,694件
27,2400-2449,8402円,44分,125.4%,652件
28,2450-2499,8536円,43分,126.6%,636件
29,2500-2549,8672円,43分,127.1%,613件
30,2550-2599,9319円,41分,130.1%,567件
31,2600-2649,10039円,38分,135%,609件
32,2650-2699,10175円,37分,136.5%,555件
33,2700-2749,10637円,34分,141.2%,575件
34,2750-2799,11480円,33分,146.8%,522件
35,2800-2849,11164円,33分,144.8%,461件
