,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,-220円,142分,99.8%,30件
1,950-999,3973円,117分,104.5%,28件
2,1000-1049,483円,127分,100.5%,35件
3,1050-1099,799円,131分,100.8%,29件
4,1100-1149,3238円,122分,103.5%,47件
5,1150-1199,1921円,114分,102.2%,46件
6,1200-1249,3033円,113分,103.6%,63件
7,1250-1299,2641円,112分,103.1%,60件
8,1300-1349,2680円,113分,103.2%,73件
9,1350-1399,2955円,108分,103.6%,65件
10,1400-1449,3152円,103分,104.1%,70件
11,1450-1499,2589円,99分,103.5%,64件
12,1500-1549,3330円,95分,104.7%,74件
13,1550-1599,2152円,97分,103%,86件
14,1600-1649,3445円,91分,105%,88件
15,1650-1699,3939円,91分,105.8%,107件
16,1700-1749,3874円,88分,105.9%,90件
17,1750-1799,4568円,87分,107%,94件
18,1800-1849,5057円,84分,108%,88件
19,1850-1899,4521円,79分,107.6%,75件
20,1900-1949,4724円,74分,108.5%,104件
21,1950-1999,4511円,73分,108.2%,95件
22,2000-2049,4244円,69分,108.2%,85件
23,2050-2099,6094円,62分,113%,80件
24,2100-2149,4331円,62分,109.3%,63件
25,2150-2199,4368円,61分,109.5%,75件
26,2200-2249,4900円,57分,111.4%,54件
27,2250-2299,4552円,55分,111%,54件
28,2300-2349,5590円,47分,115.7%,60件
29,2350-2399,6983円,44分,121.2%,62件
30,2400-2449,6109円,45分,118.2%,47件
31,2450-2499,5250円,46分,115.3%,49件
32,2500-2549,7548円,41分,124.4%,59件
33,2550-2599,7400円,40分,124.6%,47件
34,2600-2649,7852円,39分,126.9%,57件
35,2650-2699,7940円,39分,126.8%,54件
36,2700-2749,9200円,35分,135.5%,42件
37,2750-2799,10482円,32分,144.2%,39件
38,2800-2849,10488円,28分,149.6%,37件
39,2850-2899,11724円,24分,165.9%,36件
40,2900-2949,12796円,23分,173.5%,47件
