,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,96円,147分,100.1%,1357件
1,500-549,-398円,146分,99.6%,1747件
2,550-599,-156円,144分,99.9%,1594件
3,600-649,341円,140分,100.3%,1434件
4,650-699,608円,138分,100.6%,1276件
5,700-749,342円,139分,100.3%,1121件
6,750-799,260円,137分,100.3%,1073件
7,800-849,923円,131分,100.9%,1036件
8,850-899,412円,135分,100.4%,926件
9,900-949,1463円,129分,101.5%,880件
10,950-999,1608円,126分,101.7%,791件
11,1000-1049,1987円,124分,102.1%,766件
12,1050-1099,1501円,122分,101.6%,1400件
13,1100-1149,1350円,121分,101.5%,799件
14,1150-1199,2223円,116分,102.6%,820件
15,1200-1249,2027円,115分,102.4%,727件
16,1250-1299,2500円,112分,103%,654件
17,1300-1349,2221円,110分,102.7%,617件
18,1350-1399,2698円,108分,103.3%,636件
19,1400-1449,2484円,106分,103.1%,560件
20,1450-1499,3087円,102分,104%,550件
21,1500-1549,3659円,99分,104.9%,508件
22,1550-1599,3277円,97分,104.5%,521件
23,1600-1649,3911円,94分,105.6%,577件
24,1650-1699,3632円,90分,105.4%,504件
25,1700-1749,3692円,89分,105.5%,519件
26,1750-1799,4625円,85分,107.3%,492件
27,1800-1849,5086円,82分,108.3%,453件
28,1850-1899,4617円,81分,107.6%,417件
29,1900-1949,5443円,76分,109.5%,468件
30,1950-1999,5970円,75分,110.7%,430件
31,2000-2049,5103円,69分,109.9%,415件
32,2050-2099,5446円,66分,111.1%,379件
33,2100-2149,5863円,61分,112.8%,390件
34,2150-2199,6613円,56分,115.6%,405件
35,2200-2249,6681円,54分,116.6%,384件
36,2250-2299,6064円,50分,116.2%,402件
37,2300-2349,6270円,48分,117.4%,352件
38,2350-2399,6630円,46分,119.2%,349件
39,2400-2449,7427円,43分,123%,372件
40,2450-2499,7089円,42分,122.4%,314件
41,2500-2549,7680円,40分,125.4%,353件
42,2550-2599,8152円,40分,127.3%,324件
43,2600-2649,8542円,38分,130.1%,303件
44,2650-2699,9059円,37分,133%,270件
45,2700-2749,9037円,34分,135.3%,300件
46,2750-2799,9899円,31分,142.1%,250件
47,2800-2849,11127円,29分,151.8%,259件
48,2850-2899,11815円,25分,163.8%,244件
49,2900-2949,12754円,23分,174.2%,206件
