,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,8766円,107分,110.9%,295件
1,1350-1399,9151円,108分,111.3%,342件
2,1400-1449,8973円,107分,111.2%,255件
3,1450-1499,8544円,102分,111.2%,284件
4,1500-1549,9794円,101分,113%,213件
5,1550-1599,9228円,97分,112.7%,229件
6,1600-1649,10186円,96分,114.2%,201件
7,1650-1699,8558円,89分,112.9%,191件
8,1700-1749,10582円,88分,115.9%,193件
9,1750-1799,10143円,85分,115.8%,168件
10,1800-1849,9751円,82分,115.8%,183件
11,1850-1899,11065円,77分,119.1%,196件
12,1900-1949,9853円,76分,117.2%,205件
13,1950-1999,9751円,76分,117.1%,188件
14,2000-2049,10086円,73分,118.5%,143件
15,2050-2099,10179円,68分,120%,158件
16,2100-2149,11257円,64分,123.4%,137件
17,2150-2199,11380円,62分,124.5%,151件
18,2200-2249,10139円,57分,123.6%,139件
19,2250-2299,10545円,52分,127.2%,138件
20,2300-2349,10604円,45分,131.7%,133件
21,2350-2399,10178円,41分,132.9%,143件
22,2400-2449,11076円,40分,137%,115件
23,2450-2499,11867円,37分,142.8%,124件
24,2500-2549,12006円,37分,143.2%,108件
25,2550-2599,11349円,37分,141.1%,105件
26,2600-2649,12102円,34分,146.9%,87件
27,2650-2699,12914円,35分,149.9%,99件
28,2700-2749,13748円,32分,157.1%,93件
29,2750-2799,13368円,32分,155.2%,89件
30,2800-2849,14014円,28分,166.7%,89件
31,2850-2899,14300円,27分,170.3%,92件
32,2900-2949,15201円,25分,181.9%,65件
