,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,4770円,118分,105.4%,21件
1,1000-1049,5849円,120分,106.5%,23件
2,1050-1099,2135円,112分,102.5%,28件
3,1100-1149,5044円,123分,105.5%,32件
4,1150-1199,4159円,107分,105.2%,41件
5,1200-1249,6858円,105分,108.7%,33件
6,1250-1299,5045円,109分,106.2%,43件
7,1300-1349,2267円,104分,102.9%,38件
8,1350-1399,5532円,99分,107.4%,46件
9,1400-1449,5187円,96分,107.2%,48件
10,1450-1499,6010円,99分,108.1%,64件
11,1500-1549,5873円,100分,107.8%,63件
12,1550-1599,5354円,99分,107.2%,60件
13,1600-1649,5269円,91分,107.7%,73件
14,1650-1699,5083円,92分,107.4%,75件
15,1700-1749,6530円,84分,110.3%,72件
16,1750-1799,6776円,82分,111.1%,62件
17,1800-1849,5622円,87分,108.6%,64件
18,1850-1899,7074円,77分,112.3%,57件
19,1900-1949,6078円,79分,110.2%,69件
20,1950-1999,7538円,72分,114%,70件
21,2000-2049,6393円,68分,112.5%,61件
22,2050-2099,7724円,63分,116.4%,53件
23,2100-2149,8623円,66分,117.5%,68件
24,2150-2199,6667円,58分,115.3%,48件
25,2200-2249,5604円,57分,113.2%,53件
26,2250-2299,7994円,49分,121.8%,52件
27,2300-2349,9910円,40分,132.9%,53件
28,2350-2399,7162円,42分,122.6%,38件
29,2400-2449,8743円,39分,130%,40件
30,2450-2499,9465円,35分,136.6%,35件
31,2500-2549,9129円,39分,131.5%,34件
32,2550-2599,9614円,33分,138.4%,43件
33,2600-2649,10177円,34分,139.6%,44件
34,2650-2699,10567円,33分,143%,43件
35,2700-2749,10227円,35分,139.4%,29件
36,2750-2799,10991円,30分,148.2%,33件
37,2800-2849,11450円,28分,154.4%,38件
38,2850-2899,11874円,25分,164.6%,33件
39,2900-2949,12592円,21分,179.2%,19件
