,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-664円,157分,99.4%,4375件
1,350-399,-651円,155分,99.4%,3988件
2,400-449,-559円,154分,99.5%,3750件
3,450-499,-291円,150分,99.7%,3599件
4,500-549,-345円,149分,99.7%,3186件
5,550-599,-36円,147分,100%,3101件
6,600-649,447円,145分,100.4%,2912件
7,650-699,593円,143分,100.6%,2750件
8,700-749,513円,140分,100.5%,4989件
9,750-799,524円,140分,100.5%,2869件
10,800-849,434円,137分,100.4%,2916件
11,850-899,805円,135分,100.8%,2436件
12,900-949,977円,132分,101%,2233件
13,950-999,1039円,129分,101.1%,2151件
14,1000-1049,811円,128分,100.8%,2086件
15,1050-1099,1157円,124分,101.2%,2003件
16,1100-1149,1722円,121分,101.9%,2061件
17,1150-1199,2360円,120分,102.6%,1888件
18,1200-1249,1867円,118分,102.1%,1911件
19,1250-1299,2527円,113分,103%,1900件
20,1300-1349,1759円,113分,102.1%,1791件
21,1350-1399,2074円,110分,102.5%,1836件
22,1400-1449,2788円,106分,103.5%,1730件
23,1450-1499,2975円,104分,103.8%,1749件
24,1500-1549,3014円,101分,104%,1625件
25,1550-1599,3192円,98分,104.4%,1633件
26,1600-1649,3536円,96分,104.9%,1540件
27,1650-1699,3101円,93分,104.4%,1511件
28,1700-1749,3558円,90分,105.3%,1446件
29,1750-1799,3949円,87分,106.1%,1456件
30,1800-1849,3562円,83分,105.7%,1403件
31,1850-1899,3758円,80分,106.2%,1368件
32,1900-1949,3810円,76分,106.7%,1373件
33,1950-1999,4556円,74分,108.2%,1330件
34,2000-2049,4422円,71分,108.3%,1312件
35,2050-2099,4785円,68分,109.3%,1268件
36,2100-2149,4797円,66分,109.8%,1169件
37,2150-2199,4499円,62分,109.7%,1164件
38,2200-2249,5355円,59分,112.1%,1147件
39,2250-2299,5489円,55分,113.4%,1147件
40,2300-2349,5630円,52分,114.6%,1061件
41,2350-2399,5716円,48分,115.7%,1096件
42,2400-2449,6313円,47分,118%,1015件
43,2450-2499,6821円,45分,120.2%,1015件
44,2500-2549,7205円,44分,122%,954件
45,2550-2599,7884円,42分,125%,853件
46,2600-2649,8461円,39分,129.1%,708件
47,2650-2699,8991円,37分,132.1%,631件
48,2700-2749,9572円,34分,137%,473件
49,2750-2799,10550円,32分,143.6%,370件
50,2800-2849,11315円,29分,152.3%,317件
51,2850-2899,12748円,26分,165.6%,264件
52,2900-2949,13089円,24分,173.4%,192件
