,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,803円,138分,100.8%,25件
1,700-749,2272円,122分,102.5%,39件
2,750-799,877円,148分,100.8%,52件
3,800-849,3887円,131分,104%,50件
4,850-899,1200円,133分,101.2%,54件
5,900-949,1868円,134分,101.9%,61件
6,950-999,2001円,129分,102.1%,79件
7,1000-1049,2211円,126分,102.3%,82件
8,1050-1099,1833円,126分,101.9%,101件
9,1100-1149,3076円,127分,103.2%,116件
10,1150-1199,2589円,121分,102.9%,122件
11,1200-1249,3620円,111分,104.4%,130件
12,1250-1299,3647円,114分,104.3%,135件
13,1300-1349,3783円,106分,104.7%,127件
14,1350-1399,3235円,108分,104%,135件
15,1400-1449,1943円,106分,102.4%,154件
16,1450-1499,2837円,103分,103.7%,138件
17,1500-1549,3656円,99分,104.9%,173件
18,1550-1599,3753円,96分,105.2%,152件
19,1600-1649,4371円,96分,106.1%,166件
20,1650-1699,5002円,94分,107.1%,161件
21,1700-1749,4597円,89分,106.9%,139件
22,1750-1799,3754円,85分,105.9%,165件
23,1800-1849,4495円,80分,107.5%,173件
24,1850-1899,4148円,79分,107%,155件
25,1900-1949,5563円,76分,109.8%,147件
26,1950-1999,4890円,73分,108.9%,119件
27,2000-2049,3514円,72分,106.5%,123件
28,2050-2099,5488円,68分,110.7%,123件
29,2100-2149,5737円,66分,111.7%,109件
30,2150-2199,5939円,58分,113.6%,132件
31,2200-2249,5864円,56分,113.9%,104件
32,2250-2299,6560円,50分,117.4%,103件
33,2300-2349,5973円,51分,115.7%,111件
34,2350-2399,6738円,46分,119.6%,98件
35,2400-2449,6904円,45分,120.5%,82件
36,2450-2499,6826円,44分,120.5%,95件
37,2500-2549,7388円,42分,123.2%,94件
38,2550-2599,7056円,41分,122.8%,80件
39,2600-2649,8829円,38分,131.1%,75件
40,2650-2699,9004円,37分,132.6%,66件
41,2700-2749,10008円,33分,140.7%,68件
42,2750-2799,10688円,33分,143.2%,93件
43,2800-2849,11107円,29分,150.8%,76件
44,2850-2899,12550円,26分,164%,61件
45,2900-2949,13769円,23分,180.3%,60件
