,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2527円,159分,97.9%,3266件
1,250-299,-2559円,157分,97.8%,4200件
2,300-349,-2642円,157分,97.8%,3691件
3,350-399,-2003円,153分,98.3%,3484件
4,400-449,-1928円,153分,98.3%,3070件
5,450-499,-1831円,151分,98.4%,2818件
6,500-549,-1633円,149分,98.5%,2639件
7,550-599,-1159円,145分,98.9%,2510件
8,600-649,-1572円,145分,98.6%,2204件
9,650-699,-1164円,142分,98.9%,2147件
10,700-749,-560円,139分,99.5%,2020件
11,750-799,-304円,137分,99.7%,1906件
12,800-849,-513円,134分,99.5%,3452件
13,850-899,-424円,134分,99.6%,1960件
14,900-949,-392円,131分,99.6%,2026件
15,950-999,-56円,129分,99.9%,1730件
16,1000-1049,207円,127分,100.2%,1550件
17,1050-1099,493円,123分,100.5%,1536件
18,1100-1149,28円,122分,100%,1487件
19,1150-1199,160円,119分,100.2%,1361件
20,1200-1249,978円,115分,101.1%,1414件
21,1250-1299,1503円,114分,101.8%,1270件
22,1300-1349,1153円,112分,101.4%,1304件
23,1350-1399,1365円,108分,101.7%,1291件
24,1400-1449,1389円,106分,101.8%,1262件
25,1450-1499,1473円,103分,101.9%,1265件
26,1500-1549,2309円,100分,103.1%,1203件
27,1550-1599,2412円,97分,103.3%,1196件
28,1600-1649,2616円,95分,103.7%,1086件
29,1650-1699,2694円,92分,103.9%,1111件
30,1700-1749,2839円,90分,104.2%,1040件
31,1750-1799,2591円,86分,104%,1045件
32,1800-1849,3077円,83分,104.9%,973件
33,1850-1899,3482円,80分,105.8%,1013件
34,1900-1949,3423円,76分,106%,963件
35,1950-1999,3765円,73分,106.9%,934件
36,2000-2049,3672円,69分,107.1%,952件
37,2050-2099,4090円,67分,108.2%,892件
38,2100-2149,4146円,64分,108.6%,895件
39,2150-2199,4702円,61分,110.3%,909件
40,2200-2249,4777円,57分,111.1%,800件
41,2250-2299,4484円,54分,111.1%,799件
42,2300-2349,5113円,51分,113.3%,786件
43,2350-2399,5662円,47分,116%,791件
44,2400-2449,6071円,46分,117.6%,730件
45,2450-2499,5887円,44分,117.7%,755件
46,2500-2549,6865円,42分,121.7%,696件
47,2550-2599,7338円,41分,123.7%,679件
48,2600-2649,7722円,39分,126.3%,634件
49,2650-2699,8298円,38分,129.5%,574件
50,2700-2749,9214円,34分,135.9%,479件
51,2750-2799,9956円,31分,142.3%,412件
52,2800-2849,10527円,28分,149.6%,329件
53,2850-2899,11867円,25分,162.1%,242件
54,2900-2949,12745円,22分,178.3%,188件
