,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,4942円,105分,106.3%,14件
1,1250-1299,5876円,113分,107%,19件
2,1300-1349,7618円,99分,110.3%,25件
3,1350-1399,6224円,104分,108%,31件
4,1400-1449,7750円,95分,110.8%,16件
5,1450-1499,5643円,104分,107.3%,16件
6,1500-1549,7434円,95分,110.4%,26件
7,1550-1599,5250円,99分,107.1%,29件
8,1600-1649,7564円,89分,111.3%,42件
9,1650-1699,7998円,91分,111.7%,32件
10,1700-1749,7226円,91分,110.6%,36件
11,1750-1799,8197円,78分,114%,30件
12,1800-1849,8108円,80分,113.5%,36件
13,1850-1899,5345円,70分,110.1%,26件
14,1900-1949,8216円,76分,114.5%,33件
15,1950-1999,7584円,69分,114.7%,43件
16,2000-2049,9120円,68分,117.9%,37件
17,2050-2099,6816円,66分,113.7%,38件
18,2100-2149,8094円,61分,117.6%,39件
19,2150-2199,9600円,52分,124.6%,32件
20,2200-2249,8535円,51分,122.2%,35件
21,2250-2299,8855円,45分,126%,44件
22,2300-2349,9419円,45分,127.8%,40件
23,2350-2399,6103円,44分,118.5%,40件
24,2400-2449,7453円,40分,124.6%,31件
25,2450-2499,8792円,36分,132.1%,48件
26,2500-2549,6217円,42分,119.8%,42件
27,2550-2599,7651円,36分,128.1%,38件
28,2600-2649,9083円,33分,136.6%,31件
29,2650-2699,10773円,29分,148.7%,39件
30,2700-2749,9610円,32分,140%,26件
31,2750-2799,10202円,28分,148.9%,23件
32,2800-2849,11146円,26分,156.2%,32件
33,2850-2899,12667円,25分,167%,30件
34,2900-2949,13106円,23分,176.4%,21件
