,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-1234円,154分,98.9%,2286件
1,350-399,-1337円,153分,98.8%,2984件
2,400-449,-1147円,152分,99%,2710件
3,450-499,-721円,149分,99.4%,2491件
4,500-549,-768円,148分,99.3%,2137件
5,550-599,-669円,146分,99.4%,1948件
6,600-649,-714円,145分,99.3%,1799件
7,650-699,-205円,140分,99.8%,1732件
8,700-749,-516円,141分,99.5%,1538件
9,750-799,3円,139分,100%,1513件
10,800-849,454円,135分,100.4%,1385件
11,850-899,889円,133分,100.9%,1321件
12,900-949,381円,130分,100.4%,2348件
13,950-999,538円,129分,100.6%,1355件
14,1000-1049,593円,126分,100.6%,1408件
15,1050-1099,1048円,124分,101.1%,1223件
16,1100-1149,1417円,122分,101.5%,1105件
17,1150-1199,1401円,118分,101.6%,1078件
18,1200-1249,1364円,117分,101.5%,1066件
19,1250-1299,1020円,114分,101.2%,966件
20,1300-1349,1928円,112分,102.3%,980件
21,1350-1399,2724円,109分,103.3%,879件
22,1400-1449,2125円,107分,102.6%,893件
23,1450-1499,2336円,103分,103%,910件
24,1500-1549,2452円,100分,103.3%,885件
25,1550-1599,2670円,97分,103.7%,901件
26,1600-1649,3511円,94分,105%,859件
27,1650-1699,3656円,92分,105.3%,841件
28,1700-1749,3372円,90分,105%,730件
29,1750-1799,3871円,86分,106%,778件
30,1800-1849,4087円,85分,106.4%,729件
31,1850-1899,3833円,80分,106.4%,709件
32,1900-1949,4251円,77分,107.4%,684件
33,1950-1999,4452円,74分,108%,675件
34,2000-2049,5093円,69分,109.9%,674件
35,2050-2099,4945円,67分,109.9%,658件
36,2100-2149,4451円,62分,109.6%,663件
37,2150-2199,5121円,60分,111.4%,615件
38,2200-2249,5286円,57分,112.3%,623件
39,2250-2299,5847円,53分,114.7%,645件
40,2300-2349,5466円,50分,114.5%,548件
41,2350-2399,5449円,48分,115.2%,571件
42,2400-2449,6225円,46分,117.9%,546件
43,2450-2499,6791円,44分,120.7%,542件
44,2500-2549,7282円,43分,122.7%,493件
45,2550-2599,6957円,41分,122.4%,519件
46,2600-2649,8068円,39分,127.7%,452件
47,2650-2699,8751円,37分,131.6%,460件
48,2700-2749,9312円,34分,136.5%,439件
49,2750-2799,9953円,33分,140.8%,389件
50,2800-2849,11127円,29分,151.2%,304件
51,2850-2899,12007円,25分,163.8%,276件
52,2900-2949,12386円,22分,174.4%,201件
