,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,1680円,145分,101.5%,1138件
1,550-599,1005円,145分,100.9%,1439件
2,600-649,1515円,141分,101.4%,1349件
3,650-699,2032円,138分,102%,1216件
4,700-749,2172円,136分,102.1%,1054件
5,750-799,1894円,137分,101.8%,937件
6,800-849,1910円,135分,101.9%,918件
7,850-899,2441円,130分,102.5%,865件
8,900-949,1969円,132分,102%,775件
9,950-999,2914円,127分,103%,733件
10,1000-1049,3000円,123分,103.2%,644件
11,1050-1099,3499円,122分,103.8%,649件
12,1100-1149,3170円,119分,103.5%,1166件
13,1150-1199,3087円,117分,103.5%,645件
14,1200-1249,3690円,114分,104.3%,687件
15,1250-1299,3805円,112分,104.5%,625件
16,1300-1349,3919円,110分,104.8%,542件
17,1350-1399,3242円,108分,104%,516件
18,1400-1449,4238円,105分,105.4%,532件
19,1450-1499,3888円,104分,105%,461件
20,1500-1549,4728円,98分,106.4%,448件
21,1550-1599,4967円,97分,106.8%,423件
22,1600-1649,4674円,95分,106.5%,442件
23,1650-1699,5319円,91分,107.8%,479件
24,1700-1749,5413円,87分,108.3%,439件
25,1750-1799,4897円,87分,107.5%,429件
26,1800-1849,6031円,82分,109.8%,405件
27,1850-1899,6464円,79分,110.9%,383件
28,1900-1949,5908円,78分,110.1%,347件
29,1950-1999,6936円,74分,112.5%,396件
30,2000-2049,7357円,71分,113.7%,360件
31,2050-2099,6532円,66分,113.1%,348件
32,2100-2149,6888円,62分,114.9%,313件
33,2150-2199,7213円,58分,116.7%,321件
34,2200-2249,7940円,52分,120.4%,337件
35,2250-2299,7648円,50分,120.3%,307件
36,2300-2349,7404円,46分,121.6%,340件
37,2350-2399,7597円,44分,122.9%,299件
38,2400-2449,7591円,44分,123.1%,293件
39,2450-2499,8722円,41分,128.6%,311件
40,2500-2549,8353円,40分,127.6%,262件
41,2550-2599,8831円,39分,130.6%,290件
42,2600-2649,9245円,37分,133%,251件
43,2650-2699,9758円,35分,137%,240件
44,2700-2749,10275円,34分,140%,226件
45,2750-2799,10562円,31分,144.8%,250件
46,2800-2849,11160円,28分,152.5%,204件
47,2850-2899,12611円,26分,165.4%,219件
48,2900-2949,13051円,22分,178.1%,184件
