,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,4732円,129分,104.9%,336件
1,1000-1049,4956円,128分,105.2%,364件
2,1050-1099,3862円,128分,104%,393件
3,1100-1149,4056円,125分,104.3%,437件
4,1150-1199,5034円,119分,105.6%,412件
5,1200-1249,5547円,121分,106.1%,425件
6,1250-1299,4893円,115分,105.7%,411件
7,1300-1349,5710円,109分,107%,405件
8,1350-1399,5200円,110分,106.3%,388件
9,1400-1449,5421円,109分,106.6%,401件
10,1450-1499,5622円,106分,107.1%,350件
11,1500-1549,4603円,103分,106%,330件
12,1550-1599,5564円,98分,107.5%,339件
13,1600-1649,5806円,96分,108%,339件
14,1650-1699,5992円,91分,108.7%,305件
15,1700-1749,5414円,89分,108.1%,312件
16,1750-1799,6231円,89分,109.3%,307件
17,1800-1849,6264円,83分,110%,273件
18,1850-1899,6724円,84分,110.7%,243件
19,1900-1949,6686円,78分,111.4%,269件
20,1950-1999,7558円,74分,113.7%,234件
21,2000-2049,5876円,72分,110.9%,212件
22,2050-2099,7275円,68分,114.4%,192件
23,2100-2149,6486円,63分,113.8%,219件
24,2150-2199,6594円,60分,114.7%,212件
25,2200-2249,7486円,55分,118.3%,199件
26,2250-2299,7518円,54分,118.5%,194件
27,2300-2349,7021円,51分,118.4%,184件
28,2350-2399,8095円,46分,123.7%,172件
29,2400-2449,7501円,48分,121%,168件
30,2450-2499,8357円,44分,125.2%,147件
31,2500-2549,8493円,44分,125.7%,162件
32,2550-2599,9022円,41分,129.1%,145件
33,2600-2649,9524円,39分,132.8%,144件
34,2650-2699,10189円,37分,136.5%,171件
35,2700-2749,10379円,36分,138.8%,145件
36,2750-2799,11582円,32分,147.7%,132件
37,2800-2849,12989円,29分,159.3%,136件
38,2850-2899,13364円,28分,163.8%,124件
39,2900-2949,14058円,24分,179.3%,108件
