,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-284円,153分,99.8%,553件
1,350-399,-1071円,153分,99.1%,850件
2,400-449,-1305円,153分,98.9%,985件
3,450-499,-135円,148分,99.9%,1097件
4,500-549,-98円,146分,99.9%,1127件
5,550-599,73円,142分,100.1%,1159件
6,600-649,155円,143分,100.1%,1205件
7,650-699,-274円,141分,99.7%,1153件
8,700-749,391円,141分,100.4%,1220件
9,750-799,296円,136分,100.3%,1175件
10,800-849,1404円,134分,101.4%,1125件
11,850-899,248円,135分,100.2%,1331件
12,900-949,729円,129分,100.8%,1295件
13,950-999,808円,127分,100.8%,1341件
14,1000-1049,1603円,125分,101.7%,1192件
15,1050-1099,1341円,122分,101.5%,1180件
16,1100-1149,1533円,122分,101.7%,1052件
17,1150-1199,1869円,118分,102.1%,1028件
18,1200-1249,1583円,118分,101.8%,915件
19,1250-1299,1575円,112分,101.9%,861件
20,1300-1349,2174円,111分,102.6%,882件
21,1350-1399,2729円,108分,103.4%,801件
22,1400-1449,2136円,107分,102.7%,754件
23,1450-1499,2402円,105分,103.1%,789件
24,1500-1549,3346円,99分,104.5%,802件
25,1550-1599,2979円,96分,104.1%,748件
26,1600-1649,3714円,95分,105.2%,629件
27,1650-1699,3580円,92分,105.2%,630件
28,1700-1749,3823円,90分,105.7%,628件
29,1750-1799,3455円,87分,105.3%,612件
30,1800-1849,3772円,83分,106.1%,615件
31,1850-1899,4219円,79分,107.1%,569件
32,1900-1949,4279円,77分,107.4%,546件
33,1950-1999,4419円,71分,108.3%,542件
34,2000-2049,4557円,69分,108.8%,511件
35,2050-2099,4436円,66分,109%,508件
36,2100-2149,4744円,65分,109.7%,488件
37,2150-2199,5127円,60分,111.4%,476件
38,2200-2249,5524円,56分,113.2%,462件
39,2250-2299,5662円,54分,113.9%,462件
40,2300-2349,5916円,50分,115.8%,422件
41,2350-2399,5896円,49分,116.2%,407件
42,2400-2449,5957円,46分,117.2%,372件
43,2450-2499,6774円,44分,120.4%,386件
44,2500-2549,6987円,43分,121.8%,371件
45,2550-2599,7629円,41分,124.8%,358件
46,2600-2649,8220円,39分,128.3%,389件
47,2650-2699,8930円,36分,132.8%,350件
48,2700-2749,9401円,34分,137.2%,372件
49,2750-2799,10430円,32分,143.9%,325件
50,2800-2849,10961円,29分,150.6%,307件
51,2850-2899,12003円,26分,162.4%,282件
52,2900-2949,12883円,22分,177.2%,247件
