,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,-132円,137分,99.9%,25件
1,700-749,1429円,121分,101.6%,39件
2,750-799,-137円,147分,99.9%,52件
3,800-849,2927円,130分,103%,50件
4,850-899,283円,132分,100.3%,54件
5,900-949,943円,133分,100.9%,61件
6,950-999,1105円,128分,101.1%,79件
7,1000-1049,1330円,125分,101.4%,82件
8,1050-1099,950円,125分,101%,101件
9,1100-1149,2163円,126分,102.3%,116件
10,1150-1199,1741円,120分,101.9%,122件
11,1200-1249,2821円,110分,103.4%,130件
12,1250-1299,2814円,114分,103.3%,135件
13,1300-1349,3015円,106分,103.8%,127件
14,1350-1399,2459円,107分,103.1%,135件
15,1400-1449,1217円,106分,101.5%,154件
16,1450-1499,2107円,102分,102.7%,138件
17,1500-1549,2956円,98分,104%,173件
18,1550-1599,3057円,95分,104.3%,152件
19,1600-1649,3669円,95分,105.1%,166件
20,1650-1699,4292円,93分,106.1%,161件
21,1700-1749,3945円,88分,106%,139件
22,1750-1799,3141円,85分,104.9%,165件
23,1800-1849,3908円,79分,106.6%,173件
24,1850-1899,3580円,78分,106.1%,155件
25,1900-1949,4987円,75分,108.8%,147件
26,1950-1999,4352円,73分,108%,119件
27,2000-2049,3016円,72分,105.6%,123件
28,2050-2099,4959円,68分,109.8%,123件
29,2100-2149,5233円,65分,110.7%,109件
30,2150-2199,5486円,58分,112.6%,132件
31,2200-2249,5429円,56分,113%,104件
32,2250-2299,6160円,50分,116.4%,103件
33,2300-2349,5583円,50分,114.8%,111件
34,2350-2399,6374円,46分,118.6%,98件
35,2400-2449,6539円,45分,119.6%,82件
36,2450-2499,6465円,44分,119.5%,95件
37,2500-2549,7027円,42分,122.2%,94件
38,2550-2599,6695円,41分,121.8%,80件
39,2600-2649,8468円,38分,130.1%,75件
40,2650-2699,8643円,36分,131.6%,66件
41,2700-2749,9647円,32分,139.6%,68件
42,2750-2799,10327円,33分,142.1%,93件
43,2800-2849,10746円,29分,149.7%,76件
44,2850-2899,12190円,26分,163%,61件
45,2900-2949,13408円,23分,179.3%,60件
