,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,950-999,3830円,134分,103.8%,23件
1,1000-1049,3972円,128分,104.1%,32件
2,1050-1099,3376円,122分,103.7%,41件
3,1100-1149,4750円,128分,104.9%,33件
4,1150-1199,4654円,124分,105%,66件
5,1200-1249,5592円,110分,106.8%,59件
6,1250-1299,5221円,110分,106.3%,65件
7,1300-1349,4045円,109分,104.9%,67件
8,1350-1399,5313円,104分,106.8%,83件
9,1400-1449,6375円,103分,108.3%,75件
10,1450-1499,5173円,105分,106.6%,73件
11,1500-1549,4903円,97分,106.8%,83件
12,1550-1599,5075円,96分,107.1%,78件
13,1600-1649,5578円,97分,107.7%,86件
14,1650-1699,6196円,90分,109.2%,73件
15,1700-1749,4750円,86分,107.4%,90件
16,1750-1799,5563円,86分,108.6%,81件
17,1800-1849,6623円,79分,111.1%,84件
18,1850-1899,6370円,76分,111.1%,96件
19,1900-1949,7060円,76分,112.3%,97件
20,1950-1999,4692円,72分,108.7%,79件
21,2000-2049,7274円,69分,114.1%,106件
22,2050-2099,7281円,67分,114.6%,112件
23,2100-2149,5515円,61分,112%,87件
24,2150-2199,6996円,59分,115.9%,90件
25,2200-2249,6255円,58分,114.5%,80件
26,2250-2299,5737円,53分,114.4%,85件
27,2300-2349,7454円,51分,119.5%,65件
28,2350-2399,6520円,46分,119%,71件
29,2400-2449,5076円,49分,113.7%,63件
30,2450-2499,7566円,41分,124.3%,61件
31,2500-2549,9522円,35分,136.5%,43件
32,2550-2599,8724円,39分,130.1%,49件
33,2600-2649,8190円,38分,128.8%,41件
34,2650-2699,9000円,36分,133.5%,49件
35,2700-2749,9822円,34分,138%,61件
36,2750-2799,11208円,31分,148.7%,42件
37,2800-2849,11612円,28分,155.5%,33件
38,2850-2899,13076円,26分,166%,48件
39,2900-2949,13929円,24分,178.9%,44件
