,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3154円,122分,103.4%,25件
1,950-999,4073円,128分,104.2%,28件
2,1000-1049,2163円,116分,102.5%,34件
3,1050-1099,3954円,124分,104.3%,38件
4,1100-1149,3446円,110分,104.2%,48件
5,1150-1199,5678円,111分,106.8%,39件
6,1200-1249,4094円,115分,104.7%,53件
7,1250-1299,2339円,106分,103%,50件
8,1300-1349,4160円,104分,105.3%,48件
9,1350-1399,5341円,101分,107%,65件
10,1400-1449,4455円,105分,105.7%,72件
11,1450-1499,5232円,100分,107%,74件
12,1500-1549,4855円,103分,106.3%,71件
13,1550-1599,4100円,96分,105.7%,83件
14,1600-1649,4256円,96分,105.9%,91件
15,1650-1699,5190円,88分,107.9%,84件
16,1700-1749,5858円,87分,109%,74件
17,1750-1799,4490円,90分,106.7%,82件
18,1800-1849,6088円,79分,110.2%,75件
19,1850-1899,5704円,82分,109.2%,82件
20,1900-1949,7013円,75分,112.4%,85件
21,1950-1999,5237円,73分,109.6%,75件
22,2000-2049,6842円,66分,113.9%,67件
23,2050-2099,8008円,68分,115.7%,83件
24,2100-2149,6859円,62分,114.8%,61件
25,2150-2199,4802円,60分,110.7%,62件
26,2200-2249,6988円,52分,117.8%,59件
27,2250-2299,9124円,45分,126.9%,67件
28,2300-2349,6777円,46分,119.7%,43件
29,2350-2399,8394円,41分,127.4%,48件
30,2400-2449,8493円,36分,131.1%,41件
31,2450-2499,7839円,42分,125.2%,38件
32,2500-2549,8416円,37分,130.3%,50件
33,2550-2599,9543円,36分,135.5%,53件
34,2600-2649,9639円,35分,136.9%,51件
35,2650-2699,9270円,37分,133.2%,39件
36,2700-2749,9846円,33分,139.4%,40件
37,2750-2799,10461円,31分,145.1%,45件
38,2800-2849,10870円,28分,152.5%,41件
39,2850-2899,12039円,25分,164.1%,28件
40,2900-2949,12078円,20分,179.6%,36件
