,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,3849円,135分,103.8%,1321件
1,900-949,3270円,133分,103.3%,2348件
2,950-999,3390円,132分,103.4%,1355件
3,1000-1049,3357円,128分,103.5%,1408件
4,1050-1099,3800円,127分,104%,1223件
5,1100-1149,4154円,124分,104.5%,1105件
6,1150-1199,4041円,121分,104.5%,1078件
7,1200-1249,3975円,120分,104.4%,1066件
8,1250-1299,3533円,116分,104%,966件
9,1300-1349,4435円,114分,105.2%,980件
10,1350-1399,5229円,111分,106.3%,879件
11,1400-1449,4540円,109分,105.5%,893件
12,1450-1499,4656円,105分,105.9%,910件
13,1500-1549,4718円,102分,106.2%,885件
14,1550-1599,4874円,99分,106.6%,901件
15,1600-1649,5705円,96分,107.9%,859件
16,1650-1699,5794円,93分,108.3%,841件
17,1700-1749,5468円,92分,107.9%,730件
18,1750-1799,5884円,87分,109%,778件
19,1800-1849,6103円,87分,109.3%,729件
20,1850-1899,5695円,81分,109.3%,709件
21,1900-1949,6081円,79分,110.3%,684件
22,1950-1999,6198円,75分,111%,675件
23,2000-2049,6760円,70分,112.8%,674件
24,2050-2099,6551円,68分,112.9%,658件
25,2100-2149,5910円,63分,112.4%,663件
26,2150-2199,6557円,61分,114.3%,615件
27,2200-2249,6671円,59分,115.2%,623件
28,2250-2299,7157円,54分,117.6%,645件
29,2300-2349,6713円,51分,117.4%,548件
30,2350-2399,6624円,49分,118.1%,571件
31,2400-2449,7390円,47分,120.8%,546件
32,2450-2499,7956円,45分,123.7%,542件
33,2500-2549,8446円,44分,125.7%,493件
34,2550-2599,8122円,42分,125.5%,519件
35,2600-2649,9232円,40分,130.9%,452件
36,2650-2699,9915円,38分,134.8%,460件
37,2700-2749,10476円,35分,139.9%,439件
38,2750-2799,11118円,34分,144.2%,389件
39,2800-2849,12291円,30分,154.6%,304件
40,2850-2899,13171円,26分,167.2%,276件
41,2900-2949,13550円,23分,177.7%,201件
