,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1150-1199,7736円,116分,108.9%,293件
1,1200-1249,7093円,120分,107.9%,362件
2,1250-1299,7467円,112分,108.9%,350件
3,1300-1349,7844円,112分,109.4%,394件
4,1350-1399,7991円,110分,109.7%,296件
5,1400-1449,7475円,104分,109.5%,328件
6,1450-1499,8685円,106分,110.9%,262件
7,1500-1549,7908円,100分,110.5%,279件
8,1550-1599,8428円,100分,111.2%,249件
9,1600-1649,7477円,92分,110.9%,232件
10,1650-1699,9031円,92分,113%,238件
11,1700-1749,8787円,90分,113.1%,199件
12,1750-1799,8785円,87分,113.5%,220件
13,1800-1849,10022円,82分,116.3%,234件
14,1850-1899,8585円,80分,114.3%,231件
15,1900-1949,9059円,80分,115.1%,217件
16,1950-1999,9008円,77分,115.7%,168件
17,2000-2049,9141円,71分,117.1%,182件
18,2050-2099,10151円,67分,120.1%,168件
19,2100-2149,10539円,65分,121.6%,180件
20,2150-2199,8988円,61分,119.5%,167件
21,2200-2249,10078円,57分,123.7%,169件
22,2250-2299,9675円,50分,125.9%,166件
23,2300-2349,9104円,46分,126.6%,164件
24,2350-2399,10192円,42分,132.7%,146件
25,2400-2449,10906円,40分,136.8%,145件
26,2450-2499,10765円,39分,136.4%,129件
27,2500-2549,10070円,40分,133.6%,126件
28,2550-2599,11075円,37分,139.9%,105件
29,2600-2649,11563円,37分,141.6%,120件
30,2650-2699,12664円,35分,148%,117件
31,2700-2749,12303円,35分,146.6%,113件
32,2750-2799,12893円,30分,156.5%,113件
33,2800-2849,13145円,30分,158.5%,111件
34,2850-2899,14121円,28分,168.4%,91件
35,2900-2949,14763円,23分,184.4%,74件
