,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,3449円,135分,103.4%,634件
1,900-949,2819円,136分,102.8%,642件
2,950-999,3292円,133分,103.3%,735件
3,1000-1049,3735円,127分,103.9%,743件
4,1050-1099,3746円,130分,103.8%,725件
5,1100-1149,3646円,123分,103.9%,722件
6,1150-1199,4044円,119分,104.5%,677件
7,1200-1249,4267円,119分,104.8%,645件
8,1250-1299,4194円,117分,104.8%,676件
9,1300-1349,4834円,111分,105.8%,623件
10,1350-1399,4275円,110分,105.2%,589件
11,1400-1449,4114円,109分,105%,583件
12,1450-1499,4719円,106分,105.9%,598件
13,1500-1549,5105円,101分,106.7%,542件
14,1550-1599,5224円,99分,107.1%,573件
15,1600-1649,5111円,98分,107%,544件
16,1650-1699,4859円,92分,107%,473件
17,1700-1749,5669円,91分,108.3%,444件
18,1750-1799,5845円,88分,108.9%,459件
19,1800-1849,6438円,84分,110.2%,393件
20,1850-1899,5252円,82分,108.5%,367件
21,1900-1949,6860円,78分,111.7%,357件
22,1950-1999,5874円,75分,110.5%,363件
23,2000-2049,6083円,72分,111.3%,367件
24,2050-2099,6508円,67分,113%,353件
25,2100-2149,6425円,65分,113.1%,329件
26,2150-2199,6037円,62分,113%,321件
27,2200-2249,6773円,57分,115.7%,300件
28,2250-2299,6097円,56分,114.5%,298件
29,2300-2349,6835円,52分,117.6%,246件
30,2350-2399,6819円,49分,118.7%,286件
31,2400-2449,7669円,45分,122.5%,266件
32,2450-2499,7905円,44分,124.1%,263件
33,2500-2549,8171円,44分,125%,309件
34,2550-2599,8200円,43分,125.7%,252件
35,2600-2649,9129円,40分,130.8%,228件
36,2650-2699,10018円,37分,135.7%,230件
37,2700-2749,10581円,36分,139.7%,221件
38,2750-2799,11286円,33分,145.7%,211件
39,2800-2849,12167円,30分,154.9%,187件
40,2850-2899,13612円,27分,167.2%,191件
41,2900-2949,14395円,24分,181.4%,168件
