,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,430円,146分,100.4%,12918件
1,500-549,716円,146分,100.7%,4060件
2,550-599,1278円,142分,101.2%,2139件
3,600-649,1343円,141分,101.3%,1441件
4,650-699,1247円,139分,101.2%,1204件
5,700-749,1194円,138分,101.2%,1017件
6,750-799,1700円,135分,101.7%,959件
7,800-849,1946円,131分,102%,942件
8,850-899,1640円,131分,101.7%,964件
9,900-949,2084円,128分,102.2%,868件
10,950-999,1784円,127分,101.9%,845件
11,1000-1049,2350円,124分,102.5%,917件
12,1050-1099,2959円,124分,103.2%,903件
13,1100-1149,2509円,119分,102.8%,795件
14,1150-1199,2623円,115分,103%,949件
15,1200-1249,2957円,114分,103.5%,919件
16,1250-1299,3164円,112分,103.8%,861件
17,1300-1349,4034円,109分,104.9%,869件
18,1350-1399,4288円,108分,105.3%,826件
19,1400-1449,3796円,105分,104.8%,866件
20,1450-1499,4018円,102分,105.3%,790件
21,1500-1549,3897円,97分,105.4%,726件
22,1550-1599,4714円,97分,106.5%,706件
23,1600-1649,3901円,93分,105.6%,715件
24,1650-1699,4641円,91分,106.8%,699件
25,1700-1749,4636円,87分,107.1%,712件
26,1750-1799,5141円,84分,108.1%,645件
27,1800-1849,5620円,82分,109.2%,602件
28,1850-1899,5755円,80分,109.6%,633件
29,1900-1949,5930円,78分,110.2%,594件
30,1950-1999,5806円,73分,110.5%,590件
31,2000-2049,6081円,72分,111.3%,603件
32,2050-2099,6639円,68分,113.1%,605件
33,2100-2149,6992円,64分,114.6%,529件
34,2150-2199,6924円,59分,115.8%,561件
35,2200-2249,6544円,53分,116.5%,523件
36,2250-2299,7069円,48分,119.8%,510件
37,2300-2349,7506円,46分,121.9%,493件
38,2350-2399,7351円,44分,122.5%,477件
39,2400-2449,7451円,41分,124%,475件
40,2450-2499,7706円,41分,125.2%,483件
41,2500-2549,8454円,38分,129.7%,447件
42,2550-2599,8706円,37分,131%,447件
43,2600-2649,8814円,37分,131.8%,436件
44,2650-2699,9270円,36分,134.7%,401件
45,2700-2749,10268円,32分,142.2%,418件
46,2750-2799,10468円,30分,145.9%,395件
47,2800-2849,10927円,27分,153.3%,382件
48,2850-2899,11856円,25分,162.3%,357件
49,2900-2949,11760円,26分,160.4%,319件
