,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,5605円,136分,105.5%,50件
1,900-949,7196円,128分,107.5%,47件
2,950-999,6483円,113分,107.6%,57件
3,1000-1049,4386円,123分,104.8%,87件
4,1050-1099,5226円,122分,105.7%,79件
5,1100-1149,6580円,120分,107.3%,83件
6,1150-1199,6090円,115分,107%,102件
7,1200-1249,4292円,120分,104.8%,103件
8,1250-1299,7074円,116分,108.2%,111件
9,1300-1349,8156円,110分,109.9%,125件
10,1350-1399,6318円,109分,107.7%,124件
11,1400-1449,4829円,106分,106.1%,150件
12,1450-1499,7469円,101分,109.8%,139件
13,1500-1549,7416円,105分,109.4%,151件
14,1550-1599,7433円,95分,110.5%,149件
15,1600-1649,8554円,89分,112.8%,155件
16,1650-1699,8026円,89分,112%,128件
17,1700-1749,8276円,90分,112.2%,131件
18,1750-1799,8560円,83分,113.7%,118件
19,1800-1849,7388円,81分,112.1%,126件
20,1850-1899,7872円,82分,112.7%,107件
21,1900-1949,7732円,72分,114.3%,105件
22,1950-1999,8186円,73分,115%,99件
23,2000-2049,8038円,70分,115.3%,111件
24,2050-2099,8534円,65分,117.4%,95件
25,2100-2149,10323円,60分,122.9%,79件
26,2150-2199,10281円,63分,121.9%,92件
27,2200-2249,9074円,56分,121.5%,76件
28,2250-2299,11362円,49分,130.8%,63件
29,2300-2349,8229円,49分,122.4%,62件
30,2350-2399,8205円,43分,125.2%,53件
31,2400-2449,8198円,41分,126.6%,73件
32,2450-2499,10799円,35分,141.7%,74件
33,2500-2549,10589円,35分,140.8%,67件
34,2550-2599,10322円,39分,135.6%,58件
35,2600-2649,10439円,38分,136.6%,50件
36,2650-2699,12145円,33分,148.6%,55件
37,2700-2749,11490円,32分,147.9%,56件
38,2750-2799,12982円,30分,156.9%,47件
39,2800-2849,12778円,28分,161.2%,57件
40,2850-2899,13177円,25分,171.6%,49件
41,2900-2949,13054円,23分,177.3%,36件
