,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,3282円,145分,103%,10644件
1,550-599,3598円,144分,103.3%,3412件
2,600-649,4008円,142分,103.8%,1796件
3,650-699,4007円,140分,103.8%,1224件
4,700-749,3984円,137分,103.9%,1020件
5,750-799,4213円,136分,104.1%,858件
6,800-849,4472円,134分,104.4%,810件
7,850-899,4755円,130分,104.9%,796件
8,900-949,4438円,129分,104.6%,803件
9,950-999,4792円,127分,105%,731件
10,1000-1049,4695円,124分,105.1%,719件
11,1050-1099,5013円,124分,105.4%,770件
12,1100-1149,5528円,123分,106%,743件
13,1150-1199,4892円,118分,105.5%,683件
14,1200-1249,5110円,114分,106%,798件
15,1250-1299,5370円,112分,106.4%,742件
16,1300-1349,5836円,110分,107.1%,727件
17,1350-1399,6874円,106分,108.6%,738件
18,1400-1449,7062円,106分,108.9%,709件
19,1450-1499,6256円,105分,108%,716件
20,1500-1549,6476円,99分,108.8%,677件
21,1550-1599,5841円,96分,108.1%,596件
22,1600-1649,7110円,95分,110%,587件
23,1650-1699,6270円,90分,109.3%,602件
24,1700-1749,6899円,88分,110.4%,576件
25,1750-1799,6781円,86分,110.6%,606件
26,1800-1849,7347円,82分,111.9%,532件
27,1850-1899,7919円,79分,113.3%,508件
28,1900-1949,7872円,78分,113.5%,536件
29,1950-1999,8057円,75分,114.3%,509件
30,2000-2049,7849円,71分,114.8%,482件
31,2050-2099,8425円,69分,116.2%,516件
32,2100-2149,8438円,65分,117.2%,506件
33,2150-2199,8790円,62分,119%,437件
34,2200-2249,8500円,55分,120.6%,442件
35,2250-2299,8241円,49分,122.4%,435件
36,2300-2349,8716円,44分,126.5%,428件
37,2350-2399,9119円,42分,128.8%,402件
38,2400-2449,8881円,41分,128.6%,404件
39,2450-2499,8987円,40分,130.1%,406件
40,2500-2549,9563円,38分,133.4%,419件
41,2550-2599,10140円,36分,137.1%,372件
42,2600-2649,10306円,36分,138.6%,374件
43,2650-2699,10691円,35分,141.1%,366件
44,2700-2749,11016円,33分,144.2%,334件
45,2750-2799,12139円,30分,153.4%,363件
46,2800-2849,12253円,28分,158%,331件
47,2850-2899,12613円,25分,166.7%,307件
48,2900-2949,13556円,23分,179%,285件
