,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,3253円,138分,103.1%,161件
1,850-899,2579円,138分,102.5%,196件
2,900-949,3211円,133分,103.2%,189件
3,950-999,3635円,132分,103.7%,193件
4,1000-1049,4719円,126分,105%,260件
5,1050-1099,4187円,124分,104.5%,229件
6,1100-1149,4353円,123分,104.7%,283件
7,1150-1199,4414円,124分,104.8%,267件
8,1200-1249,4449円,117分,105.1%,305件
9,1250-1299,3521円,117分,104%,323件
10,1300-1349,4343円,115分,105%,312件
11,1350-1399,4691円,110分,105.7%,265件
12,1400-1449,4103円,112分,104.9%,278件
13,1450-1499,4732円,104分,106.1%,293件
14,1500-1549,4281円,104分,105.5%,286件
15,1550-1599,5501円,98分,107.5%,285件
16,1600-1649,4484円,95分,106.3%,275件
17,1650-1699,6352円,92分,109.2%,276件
18,1700-1749,6517円,91分,109.6%,296件
19,1750-1799,5742円,86分,108.9%,246件
20,1800-1849,5773円,84分,109.1%,252件
21,1850-1899,6130円,80分,110.3%,230件
22,1900-1949,6184円,75分,110.9%,230件
23,1950-1999,7219円,73分,113.1%,208件
24,2000-2049,6774円,71分,112.7%,201件
25,2050-2099,6789円,65分,113.9%,187件
26,2100-2149,6978円,65分,114.4%,185件
27,2150-2199,7386円,60分,116.4%,185件
28,2200-2249,6330円,59分,114.3%,175件
29,2250-2299,4743円,59分,110.7%,160件
30,2300-2349,7000円,50分,118.7%,155件
31,2350-2399,6908円,48分,119%,152件
32,2400-2449,7324円,46分,121.4%,152件
33,2450-2499,7716円,45分,122.8%,153件
34,2500-2549,7915円,43分,124.5%,127件
35,2550-2599,8151円,41分,126.6%,147件
36,2600-2649,8614円,41分,127.9%,121件
37,2650-2699,9949円,36分,136.6%,127件
38,2700-2749,10761円,35分,141.2%,100件
39,2750-2799,11263円,33分,146%,119件
40,2800-2849,11821円,32分,149.3%,104件
41,2850-2899,13250円,27分,166.4%,100件
42,2900-2949,14679円,23分,184.5%,91件
