,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,250-299,-70円,159分,99.9%,251件
1,300-349,-311円,157分,99.7%,355件
2,350-399,-259円,157分,99.8%,415件
3,400-449,316円,146分,100.3%,531件
4,450-499,-781円,150分,99.3%,595件
5,500-549,654円,147分,100.6%,666件
6,550-599,364円,147分,100.3%,692件
7,600-649,821円,144分,100.8%,792件
8,650-699,358円,143分,100.3%,805件
9,700-749,1031円,139分,101%,841件
10,750-799,1369円,137分,101.3%,950件
11,800-849,758円,137分,100.7%,949件
12,850-899,834円,136分,100.8%,1041件
13,900-949,1404円,130分,101.4%,1069件
14,950-999,1451円,132分,101.5%,1070件
15,1000-1049,1499円,127分,101.6%,1050件
16,1050-1099,1729円,124分,101.9%,981件
17,1100-1149,2043円,124分,102.2%,946件
18,1150-1199,1992円,119分,102.2%,973件
19,1200-1249,2483円,116分,102.9%,904件
20,1250-1299,2245円,114分,102.6%,864件
21,1300-1349,2150円,113分,102.5%,872件
22,1350-1399,2428円,111分,102.9%,846件
23,1400-1449,3011円,106分,103.8%,798件
24,1450-1499,3068円,103分,104%,841件
25,1500-1549,3186円,102分,104.1%,773件
26,1550-1599,3077円,97分,104.2%,719件
27,1600-1649,3541円,96分,104.9%,658件
28,1650-1699,3922円,93分,105.6%,651件
29,1700-1749,4667円,88分,107.1%,592件
30,1750-1799,3900円,86分,106%,549件
31,1800-1849,4854円,84分,107.7%,529件
32,1850-1899,4415円,80分,107.3%,533件
33,1900-1949,4482円,77分,107.8%,532件
34,1950-1999,4686円,72分,108.6%,511件
35,2000-2049,4987円,70分,109.5%,498件
36,2050-2099,4689円,67分,109.3%,468件
37,2100-2149,5721円,63分,112.1%,446件
38,2150-2199,4866円,63分,110.3%,442件
39,2200-2249,5977円,58分,113.7%,399件
40,2250-2299,4934円,55分,112%,404件
41,2300-2349,5738円,51分,115%,387件
42,2350-2399,6402円,46分,118.4%,395件
43,2400-2449,6242円,47分,117.8%,451件
44,2450-2499,6517円,45分,119.4%,360件
45,2500-2549,7513円,42分,123.7%,333件
46,2550-2599,7830円,42分,125%,335件
47,2600-2649,8802円,38分,130.5%,338件
48,2650-2699,9121円,37分,133.2%,309件
49,2700-2749,9861円,34分,139.2%,298件
50,2750-2799,10888円,33分,144.6%,284件
51,2800-2849,11620円,29分,153.6%,290件
52,2850-2899,12806円,26分,166%,255件
53,2900-2949,13350円,24分,174.9%,187件
