,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,3370円,137分,103.3%,374件
1,850-899,3220円,137分,103.1%,410件
2,900-949,3945円,132分,104%,403件
3,950-999,4051円,130分,104.2%,439件
4,1000-1049,3233円,130分,103.3%,464件
5,1050-1099,3264円,127分,103.4%,508件
6,1100-1149,4284円,120分,104.7%,503件
7,1150-1199,4428円,125分,104.7%,501件
8,1200-1249,4326円,118分,104.9%,509件
9,1250-1299,4919円,113分,105.8%,490件
10,1300-1349,4765円,113分,105.6%,460件
11,1350-1399,4623円,111分,105.5%,470件
12,1400-1449,5286円,106分,106.6%,424件
13,1450-1499,4290円,105分,105.5%,391件
14,1500-1549,5154円,102分,106.8%,411件
15,1550-1599,5195円,100分,106.9%,418件
16,1600-1649,5455円,94分,107.7%,366件
17,1650-1699,5337円,92分,107.8%,385件
18,1700-1749,5692円,92分,108.3%,365件
19,1750-1799,5608円,86分,108.7%,322件
20,1800-1849,6162円,86分,109.6%,297件
21,1850-1899,6019円,81分,109.9%,319件
22,1900-1949,6598円,77分,111.4%,267件
23,1950-1999,5540円,75分,109.9%,255件
24,2000-2049,7299円,71分,113.7%,247件
25,2050-2099,6029円,67分,111.9%,259件
26,2100-2149,6043円,64分,112.5%,253件
27,2150-2199,7138円,58分,116.3%,242件
28,2200-2249,7029円,58分,116.3%,230件
29,2250-2299,6458円,55分,115.7%,224件
30,2300-2349,6953円,49分,119.1%,193件
31,2350-2399,6709円,50分,117.8%,206件
32,2400-2449,7379円,47分,121.1%,174件
33,2450-2499,7362円,47分,121%,187件
34,2500-2549,8484円,42分,126.8%,178件
35,2550-2599,8640円,41分,128.1%,173件
36,2600-2649,9076円,40分,130%,203件
37,2650-2699,9652円,38分,134%,185件
38,2700-2749,10268円,36分,138.4%,149件
39,2750-2799,11682円,32分,148.8%,159件
40,2800-2849,12048円,31分,152.2%,153件
41,2850-2899,13211円,27分,165.3%,150件
42,2900-2949,14041円,23分,180.8%,114件
