,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-886円,152分,99.2%,1943件
1,400-449,-1173円,151分,99%,2504件
2,450-499,-828円,149分,99.3%,2280件
3,500-549,-413円,146分,99.6%,2086件
4,550-599,-326円,145分,99.7%,1787件
5,600-649,-263円,144分,99.8%,1634件
6,650-699,-472円,143分,99.6%,1513件
7,700-749,118円,138分,100.1%,1465件
8,750-799,-99円,138分,99.9%,1297件
9,800-849,286円,136分,100.3%,1277件
10,850-899,810円,132分,100.8%,1145件
11,900-949,1238円,130分,101.3%,1098件
12,950-999,619円,128分,100.6%,1979件
13,1000-1049,506円,127分,100.5%,1105件
14,1050-1099,1095円,122分,101.2%,1193件
15,1100-1149,1144円,122分,101.2%,1013件
16,1150-1199,1588円,119分,101.8%,938件
17,1200-1249,1611円,115分,101.9%,896件
18,1250-1299,1818円,115分,102.1%,915件
19,1300-1349,1556円,111分,101.9%,816件
20,1350-1399,2097円,109分,102.6%,792件
21,1400-1449,3096円,106分,103.9%,738件
22,1450-1499,2585円,104分,103.3%,759件
23,1500-1549,2722円,101分,103.6%,782件
24,1550-1599,2749円,97分,103.8%,752件
25,1600-1649,3139円,95分,104.4%,733件
26,1650-1699,3843円,91分,105.6%,705件
27,1700-1749,4092円,89分,106.1%,689件
28,1750-1799,3659円,87分,105.6%,612件
29,1800-1849,4067円,82分,106.6%,641件
30,1850-1899,4673円,82分,107.6%,611件
31,1900-1949,4387円,76分,107.7%,597件
32,1950-1999,4746円,74分,108.5%,562件
33,2000-2049,4519円,70分,108.6%,551件
34,2050-2099,5453円,65分,111.2%,564件
35,2100-2149,5634円,62分,112.1%,559件
36,2150-2199,4798円,58分,111%,553件
37,2200-2249,5632円,56分,113.4%,525件
38,2250-2299,5652円,54分,114.1%,517件
39,2300-2349,6070円,49分,116.4%,529件
40,2350-2399,5711円,47分,116%,439件
41,2400-2449,6001円,46分,117.6%,486件
42,2450-2499,6771円,44分,120.4%,453件
43,2500-2549,7295円,42分,123.2%,449件
44,2550-2599,7889円,41分,125.8%,417件
45,2600-2649,7669円,39分,126.5%,444件
46,2650-2699,8570円,37分,131.1%,368件
47,2700-2749,9490円,34分,137%,388件
48,2750-2799,10114円,31分,143.1%,366件
49,2800-2849,10817円,29分,149%,327件
50,2850-2899,12017円,26分,160.7%,243件
51,2900-2949,12906円,22分,177.3%,189件
