,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,5641円,112分,106.7%,1543件
1,1350-1399,5955円,112分,107.1%,1447件
2,1400-1449,5443円,108分,106.7%,1449件
3,1450-1499,6121円,105分,107.8%,1460件
4,1500-1549,5760円,103分,107.4%,1445件
5,1550-1599,5828円,99分,107.8%,1348件
6,1600-1649,5941円,97分,108.1%,1284件
7,1650-1699,6422円,95分,109%,1324件
8,1700-1749,6558円,91分,109.6%,1254件
9,1750-1799,6621円,89分,109.9%,1272件
10,1800-1849,6784円,86分,110.5%,1245件
11,1850-1899,6669円,84分,110.6%,1188件
12,1900-1949,7195円,80分,112%,1139件
13,1950-1999,7083円,76分,112.5%,1180件
14,2000-2049,6739円,72分,112.6%,1112件
15,2050-2099,6646円,67分,113.2%,1071件
16,2100-2149,7291円,64分,115.2%,1049件
17,2150-2199,7372円,61分,116%,1005件
18,2200-2249,7222円,58分,116.7%,977件
19,2250-2299,7333円,54分,118%,988件
20,2300-2349,7567円,51分,119.9%,967件
21,2350-2399,7645円,48分,121.4%,940件
22,2400-2449,7797円,46分,122.4%,877件
23,2450-2499,8512円,44分,125.8%,873件
24,2500-2549,8605円,43分,126.6%,852件
25,2550-2599,8985円,42分,128.6%,810件
26,2600-2649,9532円,39分,132.4%,847件
27,2650-2699,10092円,38分,135.6%,779件
28,2700-2749,10054円,38分,135.7%,655件
