,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,8470円,117分,109.6%,171件
1,1250-1299,6367円,117分,107.2%,176件
2,1300-1349,6018円,114分,107%,223件
3,1350-1399,7902円,109分,109.7%,200件
4,1400-1449,8040円,113分,109.5%,206件
5,1450-1499,7987円,103分,110.3%,197件
6,1500-1549,8462円,97分,111.7%,208件
7,1550-1599,8433円,98分,111.5%,188件
8,1600-1649,8470円,99分,111.4%,190件
9,1650-1699,8137円,92分,111.8%,166件
10,1700-1749,7385円,89分,111%,158件
11,1750-1799,8108円,90分,112%,166件
12,1800-1849,7886円,82分,112.8%,152件
13,1850-1899,8296円,81分,113.6%,146件
14,1900-1949,8308円,77分,114.4%,160件
15,1950-1999,8085円,75分,114.3%,144件
16,2000-2049,9033円,71分,117.1%,123件
17,2050-2099,9825円,71分,118.4%,137件
18,2100-2149,8598円,65分,117.7%,119件
19,2150-2199,10522円,58分,124.2%,102件
20,2200-2249,7932円,58分,118.3%,94件
21,2250-2299,8649円,51分,122.5%,80件
22,2300-2349,7781円,48分,121.7%,109件
23,2350-2399,9733円,43分,130.4%,119件
24,2400-2449,9997円,40分,133.3%,91件
25,2450-2499,10087円,43分,131.6%,85件
26,2500-2549,9907円,43分,130.7%,77件
27,2550-2599,11366円,38分,139.4%,86件
28,2600-2649,10666円,38分,137.2%,80件
29,2650-2699,11638円,37分,142.2%,72件
30,2700-2749,11663円,35分,144.2%,75件
31,2750-2799,12328円,32分,151.1%,71件
32,2800-2849,12388円,29分,156.5%,67件
33,2850-2899,14283円,27分,170%,86件
34,2900-2949,14927円,22分,188.8%,63件
