,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,6114円,118分,106.9%,1041件
1,1250-1299,7018円,115分,108.1%,1057件
2,1300-1349,7241円,114分,108.5%,997件
3,1350-1399,6605円,111分,107.9%,1014件
4,1400-1449,6552円,108分,108.1%,924件
5,1450-1499,6647円,103分,108.6%,889件
6,1500-1549,7359円,103分,109.6%,858件
7,1550-1599,6367円,99分,108.6%,860件
8,1600-1649,7259円,97分,110%,833件
9,1650-1699,6961円,94分,109.9%,836件
10,1700-1749,7153円,90分,110.6%,778件
11,1750-1799,7798円,87分,111.9%,736件
12,1800-1849,8043円,86分,112.5%,772件
13,1850-1899,7785円,82分,112.7%,707件
14,1900-1949,7711円,79分,113%,714件
15,1950-1999,7962円,77分,113.8%,711件
16,2000-2049,8237円,74分,114.9%,724件
17,2050-2099,8608円,70分,116.4%,649件
18,2100-2149,8260円,64分,117.1%,664件
19,2150-2199,7909円,60分,117.7%,633件
20,2200-2249,8151円,54分,120.2%,609件
21,2250-2299,8487円,51分,122.1%,595件
22,2300-2349,8379円,49分,123%,573件
23,2350-2399,8507円,46分,124.9%,573件
24,2400-2449,8631円,44分,125.9%,578件
25,2450-2499,9299円,42分,129.6%,545件
26,2500-2549,9329円,41分,130.2%,521件
27,2550-2599,9518円,41分,131.2%,513件
28,2600-2649,10006円,40分,133.7%,464件
29,2650-2699,10877円,37分,139.6%,499件
30,2700-2749,11154円,35分,142.8%,462件
31,2750-2799,11705円,32分,149.2%,474件
32,2800-2849,12583円,30分,156.1%,432件
33,2850-2899,12273円,30分,153.8%,381件
