,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,3792円,137分,103.7%,273件
1,850-899,3958円,133分,104%,322件
2,900-949,3374円,134分,103.4%,338件
3,950-999,4318円,129分,104.5%,336件
4,1000-1049,4546円,127分,104.8%,364件
5,1050-1099,3461円,128分,103.6%,393件
6,1100-1149,3662円,124分,103.9%,437件
7,1150-1199,4651円,119分,105.2%,412件
8,1200-1249,5149円,121分,105.7%,425件
9,1250-1299,4523円,115分,105.3%,411件
10,1300-1349,5352円,108分,106.6%,405件
11,1350-1399,4845円,109分,105.9%,388件
12,1400-1449,5068円,108分,106.2%,401件
13,1450-1499,5274円,105分,106.7%,350件
14,1500-1549,4277円,102分,105.6%,330件
15,1550-1599,5243円,98分,107.1%,339件
16,1600-1649,5489円,96分,107.6%,339件
17,1650-1699,5688円,91分,108.3%,305件
18,1700-1749,5124円,89分,107.7%,312件
19,1750-1799,5934円,89分,108.9%,307件
20,1800-1849,5984円,83分,109.6%,273件
21,1850-1899,6436円,84分,110.3%,243件
22,1900-1949,6421円,78分,111%,269件
23,1950-1999,7300円,73分,113.3%,234件
24,2000-2049,5640円,72分,110.5%,212件
25,2050-2099,7039円,67分,113.9%,192件
26,2100-2149,6273円,62分,113.4%,219件
27,2150-2199,6391円,60分,114.3%,212件
28,2200-2249,7290円,54分,117.9%,199件
29,2250-2299,7328円,54分,118.1%,194件
30,2300-2349,6844円,51分,118%,184件
31,2350-2399,7926円,45分,123.3%,172件
32,2400-2449,7334円,47分,120.6%,168件
33,2450-2499,8189円,44分,124.8%,147件
34,2500-2549,8326円,44分,125.3%,162件
35,2550-2599,8854円,41分,128.7%,145件
36,2600-2649,9356円,39分,132.4%,144件
37,2650-2699,10022円,37分,136%,171件
38,2700-2749,10212円,36分,138.3%,145件
39,2750-2799,11415円,32分,147.2%,132件
40,2800-2849,12822円,29分,158.9%,136件
41,2850-2899,13197円,28分,163.3%,124件
42,2900-2949,13890円,23分,178.8%,108件
