,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,1432円,144分,101.3%,10644件
1,550-599,1771円,142分,101.7%,3412件
2,600-649,2202円,140分,102.1%,1796件
3,650-699,2224円,139分,102.1%,1224件
4,700-749,2240円,136分,102.2%,1020件
5,750-799,2467円,135分,102.4%,858件
6,800-849,2743円,133分,102.8%,810件
7,850-899,3070円,128分,103.2%,796件
8,900-949,2780円,128分,102.9%,803件
9,950-999,3145円,126分,103.3%,731件
10,1000-1049,3091円,123分,103.4%,719件
11,1050-1099,3399円,122分,103.7%,770件
12,1100-1149,3901円,122分,104.3%,743件
13,1150-1199,3357円,117分,103.8%,683件
14,1200-1249,3622円,112分,104.3%,798件
15,1250-1299,3888円,111分,104.7%,742件
16,1300-1349,4366円,109分,105.4%,727件
17,1350-1399,5406円,105分,106.9%,738件
18,1400-1449,5590円,104分,107.1%,709件
19,1450-1499,4836円,103分,106.2%,716件
20,1500-1549,5128円,97分,107%,677件
21,1550-1599,4558円,95分,106.4%,596件
22,1600-1649,5790円,94分,108.2%,587件
23,1650-1699,5040円,89分,107.5%,602件
24,1700-1749,5672円,87分,108.7%,576件
25,1750-1799,5599円,85分,108.8%,606件
26,1800-1849,6188円,81分,110.2%,532件
27,1850-1899,6766円,78分,111.6%,508件
28,1900-1949,6754円,77分,111.7%,536件
29,1950-1999,6968円,74分,112.6%,509件
30,2000-2049,6816円,70分,113%,482件
31,2050-2099,7391円,68分,114.4%,516件
32,2100-2149,7462円,64分,115.4%,506件
33,2150-2199,7849円,61分,117.2%,437件
34,2200-2249,7661円,54分,118.8%,442件
35,2250-2299,7495円,48分,120.6%,435件
36,2300-2349,8016円,43分,124.8%,428件
37,2350-2399,8450円,42分,127%,402件
38,2400-2449,8223円,41分,126.9%,404件
39,2450-2499,8333円,39分,128.3%,406件
40,2500-2549,8909円,38分,131.6%,419件
41,2550-2599,9485円,36分,135.3%,372件
42,2600-2649,9651円,35分,136.7%,374件
43,2650-2699,10037円,34分,139.3%,366件
44,2700-2749,10361円,33分,142.3%,334件
45,2750-2799,11484円,30分,151.5%,363件
46,2800-2849,11598円,28分,156%,331件
47,2850-2899,11959円,25分,164.7%,307件
48,2900-2949,12901円,22分,177.2%,285件
