,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,300-349,-2294円,154分,98%,269件
1,350-399,-447円,149分,99.6%,453件
2,400-449,-1340円,151分,98.8%,719件
3,450-499,-1427円,150分,98.7%,837件
4,500-549,-291円,145分,99.7%,923件
5,550-599,-379円,143分,99.6%,928件
6,600-649,-214円,139分,99.8%,964件
7,650-699,-167円,140分,99.8%,987件
8,700-749,-535円,140分,99.5%,960件
9,750-799,7円,137分,100%,987件
10,800-849,-188円,135分,99.8%,964件
11,850-899,943円,131分,101%,927件
12,900-949,-20円,132分,100%,1114件
13,950-999,728円,126分,100.8%,1075件
14,1000-1049,582円,125分,100.6%,1127件
15,1050-1099,1166円,121分,101.3%,975件
16,1100-1149,1122円,119分,101.3%,1001件
17,1150-1199,1164円,120分,101.3%,869件
18,1200-1249,1733円,115分,102%,870件
19,1250-1299,1799円,114分,102.1%,760件
20,1300-1349,1263円,109分,101.5%,690件
21,1350-1399,1802円,108分,102.2%,705件
22,1400-1449,2734円,105分,103.5%,668件
23,1450-1499,1894円,104分,102.4%,623件
24,1500-1549,2227円,101分,102.9%,643件
25,1550-1599,3050円,96分,104.2%,654件
26,1600-1649,3093円,93分,104.4%,634件
27,1650-1699,3703円,92分,105.4%,532件
28,1700-1749,3273円,89分,104.9%,519件
29,1750-1799,3791円,86分,105.9%,531件
30,1800-1849,3514円,83分,105.6%,508件
31,1850-1899,3685円,79分,106.2%,508件
32,1900-1949,4279円,76分,107.5%,475件
33,1950-1999,4459円,72分,108.2%,452件
34,2000-2049,4200円,68分,108.2%,451件
35,2050-2099,4562円,66分,109.2%,434件
36,2100-2149,4729円,61分,110.3%,430件
37,2150-2199,5124円,60分,111.3%,399件
38,2200-2249,5142円,56分,112.2%,394件
39,2250-2299,5504円,52分,114.2%,378件
40,2300-2349,5795円,49分,115.7%,381件
41,2350-2399,6291円,46分,118.1%,346件
42,2400-2449,6050円,46分,117.6%,327件
43,2450-2499,6375円,44分,119.4%,315件
44,2500-2549,7250円,42分,123%,333件
45,2550-2599,7333円,41分,124%,305件
46,2600-2649,8003円,39分,127.7%,280件
47,2650-2699,8659円,36分,131.7%,318件
48,2700-2749,9464円,34分,137.3%,289件
49,2750-2799,9857円,31分,142.6%,306件
50,2800-2849,11069円,29分,151.8%,268件
51,2850-2899,11786円,25分,162.9%,260件
52,2900-2949,12871円,22分,176.7%,212件
