,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,-552円,140分,99.5%,21件
1,750-799,1363円,122分,101.5%,29件
2,800-849,177円,145分,100.2%,45件
3,850-899,3757円,127分,103.9%,41件
4,900-949,197円,130分,100.2%,47件
5,950-999,1142円,134分,101.1%,52件
6,1000-1049,1872円,130分,101.9%,67件
7,1050-1099,1349円,119分,101.5%,70件
8,1100-1149,1134円,121分,101.2%,82件
9,1150-1199,2361円,121分,102.6%,96件
10,1200-1249,1471円,117分,101.7%,102件
11,1250-1299,3122円,107分,103.9%,101件
12,1300-1349,2901円,111分,103.5%,108件
13,1350-1399,2913円,105分,103.7%,101件
14,1400-1449,2579円,102分,103.4%,110件
15,1450-1499,1633円,103分,102.1%,131件
16,1500-1549,2399円,100分,103.2%,113件
17,1550-1599,2838円,95分,104%,144件
18,1600-1649,3328円,92分,104.8%,130件
19,1650-1699,3779円,92分,105.5%,138件
20,1700-1749,4280円,92分,106.2%,127件
21,1750-1799,3915円,85分,106.1%,113件
22,1800-1849,3527円,82分,105.8%,144件
23,1850-1899,3936円,77分,106.8%,139件
24,1900-1949,3303円,77分,105.7%,125件
25,1950-1999,5476円,72分,110.1%,126件
26,2000-2049,4347円,69分,108.5%,93件
27,2050-2099,2911円,68分,105.7%,98件
28,2100-2149,4767円,67分,109.5%,90件
29,2150-2199,5697円,62分,112.3%,91件
30,2200-2249,5655円,54分,113.9%,106件
31,2250-2299,6295円,51分,116.4%,87件
32,2300-2349,6488円,47分,118.5%,83件
33,2350-2399,5715円,46分,116.5%,86件
34,2400-2449,6691円,44分,120.3%,81件
35,2450-2499,6131円,43分,119.1%,64件
36,2500-2549,6611円,43分,120.5%,80件
37,2550-2599,7023円,42分,122.2%,76件
38,2600-2649,7758円,38分,127%,66件
39,2650-2699,9025円,37分,132.8%,60件
40,2700-2749,8888円,34分,134.6%,51件
41,2750-2799,10246円,30分,145.2%,54件
42,2800-2849,10948円,30分,149.5%,74件
43,2850-2899,11511円,26分,159.3%,63件
44,2900-2949,13161円,22分,178.6%,47件
